Cell	Mean division time (minutes at 22 degrees C).  Start times aligned to ABala division = 74' 	Mean division time (minutes) - normalized to Sulston rate (20 degrees C)	Parent	Birth	Mean cell cycle length (minutes) - normalized to Sulston rate (20 degrees C)	Division Time Stdev (minutes at 20C)	Cell Cycle Stdev (minutes at 20C)	Division Time CV	Cell Cycle CV	# of embryos in which division was observed	# of embryos in which birth was observed	Mean Movement rate (microns per minute)	Mean movement distance (microns)
ABprpppppaa	n/a	n/a	ABprpppppa	310	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.58
ABprpppppap	n/a	n/a	ABprpppppa	310	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.69
ABalppaaapa	n/a	n/a	ABalppaaap	311	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.52
ABalppaaapp	n/a	n/a	ABalppaaap	311	n/a	n/a	n/a	n/a	n/a	0	22	0.08	0.95
ABaraappppa	n/a	n/a	ABaraapppp	311	n/a	n/a	n/a	n/a	n/a	0	22	0.06	0.61
ABaraappppp	n/a	n/a	ABaraapppp	311	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.55
Cappaaa	n/a	n/a	Cappaa	311	n/a	n/a	n/a	n/a	n/a	0	22	0.08	0.89
Cappaap	n/a	n/a	Cappaa	311	n/a	n/a	n/a	n/a	n/a	0	22	0.1	1.12
MSpaaapaa	n/a	n/a	MSpaaapa	311	n/a	n/a	n/a	n/a	n/a	0	22	0.06	0.75
MSpaaapap	n/a	n/a	MSpaaapa	311	n/a	n/a	n/a	n/a	n/a	0	22	0.08	0.73
ABalaaappll	n/a	n/a	ABalaaappl	312	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.46
ABalaaapplr	n/a	n/a	ABalaaappl	312	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.54
ABalaaaparl	n/a	n/a	ABalaaapar	313	n/a	n/a	n/a	n/a	n/a	0	21	0.04	0.53
ABalaaaparr	n/a	n/a	ABalaaapar	313	n/a	n/a	n/a	n/a	n/a	0	21	0.04	0.46
ABalpaaappa	n/a	n/a	ABalpaaapp	313	n/a	n/a	n/a	n/a	n/a	0	22	0.1	0.96
ABalpaaappp	n/a	n/a	ABalpaaapp	313	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.55
ABalpppaaaa	n/a	n/a	ABalpppaaa	313	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.67
ABalpppaaap	n/a	n/a	ABalpppaaa	313	n/a	n/a	n/a	n/a	n/a	0	22	0.11	0.96
ABaraapappa	n/a	n/a	ABaraapapp	313	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.55
ABaraapappp	n/a	n/a	ABaraapapp	313	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.53
ABplpppppaa	n/a	n/a	ABplpppppa	313	n/a	n/a	n/a	n/a	n/a	0	20	0.1	0.6
ABplpppppap	n/a	n/a	ABplpppppa	313	n/a	n/a	n/a	n/a	n/a	0	20	0.06	0.67
ABalaaaarla	n/a	n/a	ABalaaaarl	314	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.35
ABalaaaarlp	n/a	n/a	ABalaaaarl	314	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.43
ABalaaaarra	n/a	n/a	ABalaaaarr	314	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.42
ABalaaaarrp	n/a	n/a	ABalaaaarr	314	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.39
ABaraaaaapa	n/a	n/a	ABaraaaaap	314	n/a	n/a	n/a	n/a	n/a	0	22	0.02	0.28
ABaraaaaapp	n/a	n/a	ABaraaaaap	314	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.6
ABaraaappaa	n/a	n/a	ABaraaappa	314	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.46
ABaraaappap	n/a	n/a	ABaraaappa	314	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.53
ABalpaaapaa	n/a	n/a	ABalpaaapa	315	n/a	n/a	n/a	n/a	n/a	0	21	0.09	0.87
ABalpaaapap	n/a	n/a	ABalpaaapa	315	n/a	n/a	n/a	n/a	n/a	0	21	0.11	0.85
ABaraaaaaaa	n/a	n/a	ABaraaaaaa	315	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.39
ABaraaaaaap	n/a	n/a	ABaraaaaaa	315	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.42
ABarapaapaa	n/a	n/a	ABarapaapa	315	n/a	n/a	n/a	n/a	n/a	0	22	0.08	0.77
ABarapaapap	n/a	n/a	ABarapaapa	315	n/a	n/a	n/a	n/a	n/a	0	22	0.09	0.86
ABarappaapa	n/a	n/a	ABarappaap	315	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.86
ABarappaapp	n/a	n/a	ABarappaap	315	n/a	n/a	n/a	n/a	n/a	0	22	0.12	1.14
ABarpapaaaa	n/a	n/a	ABarpapaaa	315	n/a	n/a	n/a	n/a	n/a	0	21	0.13	1.37
ABarpapaaap	n/a	n/a	ABarpapaaa	315	n/a	n/a	n/a	n/a	n/a	0	21	0.19	1.53
ABplppapapa	n/a	n/a	ABplppapap	315	n/a	n/a	n/a	n/a	n/a	0	21	0.11	0.92
ABplppapapp	n/a	n/a	ABplppapap	315	n/a	n/a	n/a	n/a	n/a	0	21	0.07	0.58
ABalaapppaa	n/a	n/a	ABalaapppa	316	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.59
ABalaapppap	n/a	n/a	ABalaapppa	316	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.4
ABarapaaapa	n/a	n/a	ABarapaaap	316	n/a	n/a	n/a	n/a	n/a	0	21	0.06	0.56
ABarapaaapp	n/a	n/a	ABarapaaap	316	n/a	n/a	n/a	n/a	n/a	0	21	0.11	1.15
ABpraaaaaaa	n/a	n/a	ABpraaaaaa	316	n/a	n/a	n/a	n/a	n/a	0	21	0.08	0.98
ABpraaaaaap	n/a	n/a	ABpraaaaaa	316	n/a	n/a	n/a	n/a	n/a	0	21	0.18	1.5
ABplaaaaaaa	n/a	n/a	ABplaaaaaa	317	n/a	n/a	n/a	n/a	n/a	0	21	0.14	1.33
ABplaaaaaap	n/a	n/a	ABplaaaaaa	317	n/a	n/a	n/a	n/a	n/a	0	21	0.09	1.09
ABplpaaapaa	n/a	n/a	ABplpaaapa	317	n/a	n/a	n/a	n/a	n/a	0	21	0.15	1.03
ABplpaaapap	n/a	n/a	ABplpaaapa	317	n/a	n/a	n/a	n/a	n/a	0	21	0.06	0.65
ABplppaapaa	n/a	n/a	ABplppaapa	317	n/a	n/a	n/a	n/a	n/a	0	21	0.06	0.43
ABplppaapap	n/a	n/a	ABplppaapa	317	n/a	n/a	n/a	n/a	n/a	0	21	0.1	0.97
ABprpaaapaa	n/a	n/a	ABprpaaapa	317	n/a	n/a	n/a	n/a	n/a	0	22	0.18	1.4
ABprpaaapap	n/a	n/a	ABprpaaapa	317	n/a	n/a	n/a	n/a	n/a	0	22	0.14	1.25
ABprppaapaa	n/a	n/a	ABprppaapa	317	n/a	n/a	n/a	n/a	n/a	0	22	0.12	0.86
ABprppaapap	n/a	n/a	ABprppaapa	317	n/a	n/a	n/a	n/a	n/a	0	22	0.1	0.95
Cpppapa	n/a	n/a	Cpppap	317	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.73
Cpppapp	n/a	n/a	Cpppap	317	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.6
Cppppaa	n/a	n/a	Cppppa	317	n/a	n/a	n/a	n/a	n/a	0	22	0.09	1
Cppppap	n/a	n/a	Cppppa	317	n/a	n/a	n/a	n/a	n/a	0	22	0.08	0.9
ABalpaaaapa	n/a	n/a	ABalpaaaap	318	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.46
ABalpaaaapp	n/a	n/a	ABalpaaaap	318	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.75
ABalpppaapd	n/a	n/a	ABalpppaap	318	n/a	n/a	n/a	n/a	n/a	0	22	0.06	0.6
ABalpppaapv	n/a	n/a	ABalpppaap	318	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.41
ABprppapapa	n/a	n/a	ABprppapap	319	n/a	n/a	n/a	n/a	n/a	0	22	0.17	1.18
ABprppapapp	n/a	n/a	ABprppapap	319	n/a	n/a	n/a	n/a	n/a	0	22	0.09	0.57
MSpaapaaa	n/a	n/a	MSpaapaa	319	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.48
MSpaapaap	n/a	n/a	MSpaapaa	319	n/a	n/a	n/a	n/a	n/a	0	22	0.1	0.7
ABplppapppa	n/a	n/a	ABplppappp	320	n/a	n/a	n/a	n/a	n/a	0	20	0.18	1.16
ABplppapppp	n/a	n/a	ABplppappp	320	n/a	n/a	n/a	n/a	n/a	0	20	0.1	0.78
Cappapa	n/a	n/a	Cappap	320	n/a	n/a	n/a	n/a	n/a	0	21	0.11	0.79
Cappapp	n/a	n/a	Cappap	320	n/a	n/a	n/a	n/a	n/a	0	21	0.08	0.77
MSpaaaaaa	n/a	n/a	MSpaaaaa	320	n/a	n/a	n/a	n/a	n/a	0	21	0.06	0.44
MSpaaaaap	n/a	n/a	MSpaaaaa	320	n/a	n/a	n/a	n/a	n/a	0	21	0.03	0.29
ABalapaapaa	n/a	n/a	ABalapaapa	321	n/a	n/a	n/a	n/a	n/a	0	21	0.08	0.65
ABalapaapap	n/a	n/a	ABalapaapa	321	n/a	n/a	n/a	n/a	n/a	0	21	0.04	0.29
ABprppapppa	n/a	n/a	ABprppappp	323	n/a	n/a	n/a	n/a	n/a	0	22	0.19	0.94
ABprppapppp	n/a	n/a	ABprppappp	323	n/a	n/a	n/a	n/a	n/a	0	22	0.1	0.61
Capppaa	n/a	n/a	Capppa	323	n/a	n/a	n/a	n/a	n/a	0	20	0.13	0.98
Capppap	n/a	n/a	Capppa	323	n/a	n/a	n/a	n/a	n/a	0	20	0.08	0.66
ABalpapppaa	n/a	n/a	ABalpapppa	324	n/a	n/a	n/a	n/a	n/a	0	20	0.04	0.24
ABalpapppap	n/a	n/a	ABalpapppa	324	n/a	n/a	n/a	n/a	n/a	0	20	0.06	0.34
ABarpaaaapa	n/a	n/a	ABarpaaaap	324	n/a	n/a	n/a	n/a	n/a	0	19	0.16	1.03
ABarpaaaapp	n/a	n/a	ABarpaaaap	324	n/a	n/a	n/a	n/a	n/a	0	19	0.14	1.15
Cppaaaa	n/a	n/a	Cppaaa	324	n/a	n/a	n/a	n/a	n/a	0	21	0.06	0.42
Cppaaap	n/a	n/a	Cppaaa	324	n/a	n/a	n/a	n/a	n/a	0	21	0.03	0.55
ABalaaaalpa	n/a	n/a	ABalaaaalp	325	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.39
ABalaaaalpp	n/a	n/a	ABalaaaalp	325	n/a	n/a	n/a	n/a	n/a	0	22	0.06	0.41
ABalaapaapa	n/a	n/a	ABalaapaap	325	n/a	n/a	n/a	n/a	n/a	0	20	0.04	0.41
ABalaapaapp	n/a	n/a	ABalaapaap	325	n/a	n/a	n/a	n/a	n/a	0	20	0.12	0.66
ABarpaaapaa	n/a	n/a	ABarpaaapa	325	n/a	n/a	n/a	n/a	n/a	0	19	0.15	0.81
ABarpaaapap	n/a	n/a	ABarpaaapa	325	n/a	n/a	n/a	n/a	n/a	0	19	0.16	0.9
ABplapppaaa	n/a	n/a	ABplapppaa	326	n/a	n/a	n/a	n/a	n/a	0	20	0.08	0.41
ABplapppaap	n/a	n/a	ABplapppaa	326	n/a	n/a	n/a	n/a	n/a	0	20	0.08	0.55
ABarpaaaaal	n/a	n/a	ABarpaaaaa	327	n/a	n/a	n/a	n/a	n/a	0	18	0.23	0.97
ABarpaaaaar	n/a	n/a	ABarpaaaaa	327	n/a	n/a	n/a	n/a	n/a	0	18	0.23	0.9
ABpraaaaapd	n/a	n/a	ABpraaaaap	327	n/a	n/a	n/a	n/a	n/a	0	20	0.12	0.7
ABpraaaaapv	n/a	n/a	ABpraaaaap	327	n/a	n/a	n/a	n/a	n/a	0	20	0.07	0.36
Capaaaa	n/a	n/a	Capaaa	327	n/a	n/a	n/a	n/a	n/a	0	19	0.08	0.48
Capaaap	n/a	n/a	Capaaa	327	n/a	n/a	n/a	n/a	n/a	0	19	0.08	0.71
ABarapappaa	n/a	n/a	ABarapappa	328	n/a	n/a	n/a	n/a	n/a	0	19	0.08	0.36
ABarapappap	n/a	n/a	ABarapappa	328	n/a	n/a	n/a	n/a	n/a	0	19	0.09	0.64
Cpppppd	n/a	n/a	Cppppp	329	n/a	n/a	n/a	n/a	n/a	0	19	0.11	0.76
Cpppppv	n/a	n/a	Cppppp	329	n/a	n/a	n/a	n/a	n/a	0	19	0.04	0.39
ABalaaaalal	n/a	n/a	ABalaaaala	330	n/a	n/a	n/a	n/a	n/a	0	17	0.13	0.29
ABalaaaalar	n/a	n/a	ABalaaaala	330	n/a	n/a	n/a	n/a	n/a	0	17	0.04	0.2
ABaraaaapaa	n/a	n/a	ABaraaaapa	330	n/a	n/a	n/a	n/a	n/a	0	18	0.08	0.45
ABaraaaapap	n/a	n/a	ABaraaaapa	330	n/a	n/a	n/a	n/a	n/a	0	18	0.04	0.24
Cppapaa	n/a	n/a	Cppapa	331	n/a	n/a	n/a	n/a	n/a	0	19	0.03	0.32
Cppapap	n/a	n/a	Cppapa	331	n/a	n/a	n/a	n/a	n/a	0	19	0.1	0.38
ABalappapaa	n/a	n/a	ABalappapa	332	n/a	n/a	n/a	n/a	n/a	0	16	0.17	0.26
ABalappapap	n/a	n/a	ABalappapa	332	n/a	n/a	n/a	n/a	n/a	0	16	0.06	0.18
ABprapppaaa	n/a	n/a	ABprapppaa	333	n/a	n/a	n/a	n/a	n/a	0	19	0.1	0.28
ABprapppaap	n/a	n/a	ABprapppaa	333	n/a	n/a	n/a	n/a	n/a	0	19	0.1	0.38
Capapaa	n/a	n/a	Capapa	333	n/a	n/a	n/a	n/a	n/a	0	17	0.11	0.4
Capapap	n/a	n/a	Capapa	333	n/a	n/a	n/a	n/a	n/a	0	17	0.1	0.34
ABalaapaaal	n/a	n/a	ABalaapaaa	334	n/a	n/a	n/a	n/a	n/a	0	14		
ABalaapaaar	n/a	n/a	ABalaapaaa	334	n/a	n/a	n/a	n/a	n/a	0	14		
Capaapa	n/a	n/a	Capaap	336	n/a	n/a	n/a	n/a	n/a	0	16	0.16	0.4
Capaapp	n/a	n/a	Capaap	336	n/a	n/a	n/a	n/a	n/a	0	16	0.14	0.37
Cappppd	n/a	n/a	Capppp	337	n/a	n/a	n/a	n/a	n/a	0	16	0.23	0.53
Cappppv	n/a	n/a	Capppp	337	n/a	n/a	n/a	n/a	n/a	0	16	0.06	0.23
Cppaapa	n/a	n/a	Cppaap	337	n/a	n/a	n/a	n/a	n/a	0	15	0.16	0.36
Cppaapp	n/a	n/a	Cppaap	337	n/a	n/a	n/a	n/a	n/a	0	15	0.12	0.27
ABalpppppppa	n/a	n/a	ABalppppppp	338	n/a	n/a	n/a	n/a	n/a	0	11		
ABalpppppppp	n/a	n/a	ABalppppppp	338	n/a	n/a	n/a	n/a	n/a	0	11		
ABalappaapa	n/a	n/a	ABalappaap	339	n/a	n/a	n/a	n/a	n/a	0	13		
ABalappaapp	n/a	n/a	ABalappaap	339	n/a	n/a	n/a	n/a	n/a	0	13		
Cppappa	n/a	n/a	Cppapp	340	n/a	n/a	n/a	n/a	n/a	0	14		
Cppappp	n/a	n/a	Cppapp	340	n/a	n/a	n/a	n/a	n/a	0	14		
MSpapapaa	n/a	n/a	MSpapapa	343	n/a	n/a	n/a	n/a	n/a	0	12		
Capappa	n/a	n/a	Capapp	343	n/a	n/a	n/a	n/a	n/a	0	13		
MSpapapap	n/a	n/a	MSpapapa	343	n/a	n/a	n/a	n/a	n/a	0	12		
Capappp	n/a	n/a	Capapp	343	n/a	n/a	n/a	n/a	n/a	0	13		
MSaaaaapaa	n/a	n/a	MSaaaaapa	346	n/a	n/a	n/a	n/a	n/a	0	8		
MSaaaaapap	n/a	n/a	MSaaaaapa	346	n/a	n/a	n/a	n/a	n/a	0	8		
MSpapppaa	n/a	n/a	MSpapppa	348	n/a	n/a	n/a	n/a	n/a	0	9		
ABalppppppaa	n/a	n/a	ABalppppppa	348	n/a	n/a	n/a	n/a	n/a	0	9		
ABalapaaaaa	n/a	n/a	ABalapaaaa	348	n/a	n/a	n/a	n/a	n/a	0	7		
MSpapppap	n/a	n/a	MSpapppa	348	n/a	n/a	n/a	n/a	n/a	0	9		
ABalppppppap	n/a	n/a	ABalppppppa	348	n/a	n/a	n/a	n/a	n/a	0	9		
ABalapaaaap	n/a	n/a	ABalapaaaa	348	n/a	n/a	n/a	n/a	n/a	0	7		
ABpraaappppa	n/a	n/a	ABpraaapppp	349	n/a	n/a	n/a	n/a	n/a	0	9		
ABpraaappppp	n/a	n/a	ABpraaapppp	349	n/a	n/a	n/a	n/a	n/a	0	9		
MSaapppaa	n/a	n/a	MSaapppa	351	n/a	n/a	n/a	n/a	n/a	0	8		
MSaapapaa	n/a	n/a	MSaapapa	351	n/a	n/a	n/a	n/a	n/a	0	8		
MSaapppap	n/a	n/a	MSaapppa	351	n/a	n/a	n/a	n/a	n/a	0	8		
MSaapapap	n/a	n/a	MSaapapa	351	n/a	n/a	n/a	n/a	n/a	0	8		
Dappaa	n/a	n/a	Dappa	352	n/a	n/a	n/a	n/a	n/a	0	7		
Dappap	n/a	n/a	Dappa	352	n/a	n/a	n/a	n/a	n/a	0	7		
Dpppaa	n/a	n/a	Dpppa	353	n/a	n/a	n/a	n/a	n/a	0	8		
Dpppap	n/a	n/a	Dpppa	353	n/a	n/a	n/a	n/a	n/a	0	8		
ABpraaapppaa	n/a	n/a	ABpraaapppa	359	n/a	n/a	n/a	n/a	n/a	0	8		
ABpraaapppap	n/a	n/a	ABpraaapppa	359	n/a	n/a	n/a	n/a	n/a	0	8		
Dapppa	n/a	n/a	Dappp	363	n/a	n/a	n/a	n/a	n/a	0	7		
Dapppp	n/a	n/a	Dappp	363	n/a	n/a	n/a	n/a	n/a	0	7		
