"","x"
"ABplapaaaapa",-23
"ABplapaaaapp",-23
"ABplapaaap",-23
"ABplapaaapa",-23
"ABplapaaapad",-23
"ABplapaaapav",-23
"ABplapaaapp",-23
"ABplapaap",3
"ABplapaapa",3
"ABplapaapp",3
"ABplapap",-23
"ABplapapa",-23
"ABplapapaa",-23
"ABplapapaaa",-23
"ABplapapaap",-23
"ABplapapap",-23
"ABplapapp",-23
"ABplapappa",-23
"ABplapappp",-23
"ABplapapppa",-23
"ABplapapppp",-23
"ABplapappppa",-23
"ABplapappppaa",-23
"ABplapappppap",-23
"ABplapappppp",-23
"ABplapp",-23
"ABplappa",-23
"ABplappaa",-23
"ABplappaaa",-23
"ABplappaap",-23
"ABplappap",-23
"ABplappapa",-23
"ABplappapp",-23
"ABplappp",-23
"ABplapppa",-23
"ABplapppaa",-23
"ABplapppaaa",-23
"ABplapppaap",-23
"ABplapppap",-23
"ABplapppapa",-23
"ABplapppapp",-23
"ABplapppappa",-23
"ABplapppappp",-23
"ABplapppp",-23
"ABplappppa",-23
"ABplappppp",-23
"ABplp",-166
"ABplpa",-166
"ABplpaa",-132
"ABplpaaa",444
"ABplpaaaa",1323
"ABplpaaaaa",1323
"ABplpaaaaaa",1323
"ABplpaaaaap",1323
"ABplpaaaap",1323
"ABplpaaaapa",1323
"ABplpaaaapp",1323
"ABplpaaap",1298
"ABplpaaapa",1298
"ABplpaaapaa",1298
"ABplpaaapap",1298
"ABplpaaapp",1298
"ABplpaaappa",1298
"ABplpaaappaa",1298
"ABplpaaappap",1298
"ABplpaaappp",1298
"ABplpaap",352
"ABplpaapa",1000
"ABplpaapaa",1000
"ABplpaapaaa",1000
"ABplpaapaap",1000
"ABplpaapap",1000
"ABplpaapapa",1000
"ABplpaapapp",1000
"ABplpaapp",936
"ABplpaappa",936
"ABplpaappaa",936
"ABplpaappap",936
"ABplpaappp",936
"ABplpaapppa",936
"ABplpaapppp",936
"ABplpaappppa",936
"ABplpaappppp",936
"ABplpap",-166
"ABplpapa",460
"ABplpapaa",1521
"ABplpapaaa",1521
"ABplpapaaaa",1521
"ABplpapaaap",1521
"ABplpapaap",1521
"ABplpapaapa",1521
"ABplpapaapp",1521
"ABplpapap",1441
"ABplpapapa",4000
"ABplpapapaa",4000
"ABplpapapap",4000
"ABplpapapp",3925
"ABplpapappa",4684
"ABplpapappp",4461
"ABplpapp",529
"ABplpappa",2909
"ABplpappaa",5010
"ABplpappaaa",5010
"ABplpappaap",5010
"ABplpappap",2909
"ABplpappp",3146
"ABplpapppa",6638
"ABplpapppaa",6638
"ABplpapppap",6638
"ABplpapppp",7163
"ABplpappppa",7163
"ABplpappppp",7163
"ABplpp",-158
"ABplppa",-52
"ABplppaa",944
"ABplppaaa",1982
"ABplppaaaa",1982
"ABplppaaaaa",1982
"ABplppaaaap",1982
"ABplppaaaapa",1982
"ABplppaaaapp",1982
"ABplppaaap",1982
"ABplppaap",2330
"ABplppaapa",3952
"ABplppaapaa",3952
"ABplppaapap",3952
"ABplppaapp",4253
"ABplppaappa",5645
"ABplppaappp",5652
"ABplppap",885
"ABplppapa",1820
"ABplppapaa",1820
"ABplppapaaa",1820
"ABplppapaaaa",1820
"ABplppapaaap",1820
"ABplppapaap",1820
"ABplppapap",1820
"ABplppapapa",1820
"ABplppapapp",1820
"ABplppapp",1894
"ABplppappa",1894
"ABplppappaa",1894
"ABplppappap",1894
"ABplppappp",1894
"ABplppapppa",1894
"ABplppapppp",1894
"ABplppp",-158
"ABplpppa",871
"ABplpppaa",3166
"ABplpppaaa",4050
"ABplpppaaaa",4050
"ABplpppaaap",4050
"ABplpppaap",3775
"ABplpppaapa",3775
"ABplpppaapaa",3775
"ABplpppaapap",3775
"ABplpppaapp",3775
"ABplpppap",3278
"ABplpppapa",4261
"ABplpppapaa",4261
"ABplpppapap",4261
"ABplpppapp",3278
"ABplpppp",794
"ABplppppa",2706
"ABplppppaa",3732
"ABplppppaaa",3732
"ABplppppaap",3732
"ABplppppap",4093
"ABplppppapa",4093
"ABplppppapp",4093
"ABplppppp",2896
"ABplpppppa",2896
"ABplpppppaa",2896
"ABplpppppap",2896
"ABplpppppp",2896
"ABplppppppa",2896
"ABplppppppp",2896
"ABpr",-133
"ABpra",-106
"ABpraa",-76
"ABpraaa",-74
"ABpraaaa",-19
"ABpraaaaa",-19
"ABpraaaaaa",5
"ABpraaaaaaa",5
"ABpraaaaaap",5
"ABpraaaaap",-19
"ABpraaaaapd",-19
"ABpraaaaapv",-19
"ABpraaaap",-19
"ABpraaaapa",-19
"ABpraaaapad",-19
"ABpraaaapav",-19
"ABpraaaapp",-19
"ABpraaaappa",-19
"ABpraaaappp",-19
