Cells,WTDivMeans.Cells.,LateCalls,EarlyCalls,MissedCalls,EctopicCalls,TotalDefects,CC_Dif_pValues,WTCCMeans.Cells.,MutantCCMeans.Cells.
ABalpapaap,308.922727272727,0,0,0,0,0,0.628010997605542,85.5045454545455,86.64
ABalpapaapa,NA,0,0,0,0,0,NA,NA,NA
ABalpapaapp,NA,0,0,0,0,0,NA,NA,NA
ABalpapap,220.936363636364,0,0,0,0,0,0.172380181643549,48.2227272727273,46.56
ABalpapapa,289.218181818182,0,0,0,0,0,0.0623356506402689,66.6681818181818,69.08
ABalpapapaa,NA,0,0,0,0,0,NA,NA,NA
ABalpapapap,400.766666666667,0,0,0,0,0,NA,108.633333333333,NA
ABalpapapapa,NA,0,0,0,0,0,NA,NA,NA
ABalpapapapp,NA,0,0,0,0,0,NA,NA,NA
ABalpapapp,300.840909090909,0,0,0,0,0,0.0489870319519768,78.2818181818182,83
ABalpapappa,NA,0,0,0,0,0,NA,NA,NA
ABalpapappp,NA,0,0,0,0,0,NA,NA,NA
ABalpapp,167.322727272727,0,0,0,0,0,0.00732820228356669,33.3772727272727,30.14
ABalpappa,212.495454545455,0,1,0,0,1,0.0427078855657344,43.5409090909091,41.06
ABalpappaa,290.913636363636,0,0,0,0,0,0.313480343731582,76.7727272727273,74.64
ABalpappaaa,NA,0,0,0,0,0,NA,NA,NA
ABalpappaap,393.666666666667,0,0,0,0,0,NA,102.7,108.3
ABalpappaapa,NA,0,0,0,0,0,NA,NA,NA
ABalpappaapp,NA,0,0,0,0,0,NA,NA,NA
ABalpappap,271.745454545455,0,0,0,0,0,0.570979147870536,57.6227272727273,57.12
ABalpappapa,NA,0,0,0,0,0,NA,NA,NA
ABalpappapp,NA,0,0,0,0,0,NA,NA,NA
ABalpappp,212.122727272727,0,0,0,0,0,0.00657570074928354,43.1727272727273,40.2
ABalpapppa,322.8,0,0,0,0,0,0.383736551284411,109.145,111.28
ABalpapppaa,NA,0,0,0,0,0,NA,NA,NA
ABalpapppap,NA,0,0,0,0,0,NA,NA,NA
ABalpapppp,264.313636363636,0,0,0,0,0,0.045116207192238,50.5727272727273,48.04
ABalpappppa,NA,0,0,0,0,0,NA,NA,NA
ABalpappppp,NA,0,0,0,0,0,NA,NA,NA
ABalpp,102.118181818182,0,1,0,0,1,0.00302654153583135,26.3590909090909,22.86
ABalppa,134.1,0,1,0,0,1,0.054804846799032,30.2636363636364,27.46
ABalppaa,178.031818181818,0,2,0,0,2,0.0119381145462519,42.3045454545455,38.36
ABalppaaa,232.568181818182,0,2,0,0,2,0.000574939516822711,52.9090909090909,47.74
