paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20230224_RW10265_tbx.8_die.1_L4	X20230224_RW10265_tbx.8_die.1_L3	X20230224_RW10265_tbx.8_die.1_L1	X20230223_JIM188_tbx.9_die.1_L4	X20230222_JIM188_tbx.9_die.1_L1
ABalppaa 0.0119	4	0	-1	-3	2	1	0	-1	-1	2	0	1	1	-2	1	-3	2	0	-2	-2	2	-1	-6	-1	-3	-7	-4
ABalppaaa 6e-04	-3	-1	-3	-2	-2	2	3	-2	1	2	3	2	0	3	-2	0	-1	0	0	0	0	-1	-7	-6	-5	-6	-2
ABalppaaaa NA																											
ABalppaaap 1e-04	4	5	-2	-5	-1	1	0	0	-3	-2	-5	1	5	13	-6	4	-3	1	2	4	-6	-6	17	13	25	19	19
ABalppaaapa NA																											
ABalppaaapp NA																											
ABalppaap 0.1344	-3	0	-1	0	0	0	-1	-1	3	2	0	1	-2	0	-2	0	0	5	-1	0	0	2	-6	-1	-1	-2	0
ABalppaapa NA																											
ABalppaapp 0.3635	-2	1	-5	-6	4	5	7	3	1	5	-6	-3	-1	5	-2	-2	-1	6	-1	-3	0	-2	14	-9	14	3	0
ABalppaappa NA																											
ABalppaappp NA																											
ABalppap 0.0025	1	1	1	-1	-1	-2	-1	-1	-1	1	3	-2	0	0	1	0	0	0	0	-1	1	0	-2	-1	-3	-4	-3
ABalppapa 0.0015	-2	1	-1	-3	0	-1	-1	1	2	1	-1	2	-1	-1	1	-3	0	3	0	2	0	0	-4	-2	-3	-5	-5
ABalppapaa 0.813	4	3	5	-2	-4	0	3	-3	1	-1	-3	-1	3	-3	-5	-3	3	10	-2	0	2	-7	5	-4	-1	1	-3
ABalppapaaa NA																											
ABalppapaap NA																											
ABalppapap 0.0357	-2	-2	2	2	2	-3	-3	1	1	3	3	2	-5	0	3	1	2	-2	2	0	-4	-2	16	2	8	4	6
ABalppapapa NA																											
ABalppapapp NA																											
ABalppapp 0.0034	-3	-1	0	-2	1	-2	0	-1	2	2	2	1	-2	0	0	-2	-1	2	-1	2	1	1	-2	-1	-3	-4	-3
ABalppappa 0.0099	5	9	-2	-3	-6	2	-1	-1	4	0	-6	5	-3	0	-7	-1	1	4	-3	6	4	-6	5	4	3	9	12
ABalppappaa NA																											
ABalppappap NA																											
ABalppappp 0.1775	0	1	0	-6	-2	-1	-1	2	22	-2	1	0	-4	2	2	-1	-4	-2	-2	-1	-2	-4	4	1	1	4	0
ABalppapppa NA																			-8		4	4					
ABalppapppaa NA																											
ABalppapppap NA																											
ABalppapppp NA																											
ABalppp 0.0064	1	0	0	-2	1	1	0	0	-1	0	2	-1	0	-1	-1	1	0	2	-1	0	1	-1	-3	-2	-4	-5	-2
ABalpppa 0.0141	2	0	0	-1	-1	-1	2	-1	0	2	2	0	-1	0	1	0	-1	0	-1	-2	-1	0	-4	0	-5	-5	-4
ABalpppaa 0.0105	-1	-2	3	2	-3	2	4	1	-3	-1	3	0	-1	1	2	0	-2	0	-2	-2	1	0	-6	-2	-1	-6	-5
ABalpppaaa 0.036	-2	2	-5	5	-3	-3	0	-1	-2	2	-5	0	1	23	-1	-2	-2	-1	1	1	0	-9	30	11	6	29	6
ABalpppaaaa NA																											
ABalpppaaap NA																											
ABalpppaap 0.0094	3	4	3	8	0	-5	-4	-2	3	1	-2	2	-3	7	-2	2	-6	2	2	-4	-5	-4	5	7	11	13	19
ABalpppaapd NA																											
ABalpppaapv NA																											
ABalpppap 0.0898	1	-1	0	-1	-2	0	1	-4	-1	1	1	0	1	2	1	-1	-3	0	0	4	-1	3	0	-2	0	-5	-3
ABalpppapa 0.0878	5	1	-3	-1	-8	3	2	-1	1	3	-4	2	-8	4	3	-4	1	2	4	6	-4	-1	7	0	3	2	1
ABalpppapad NA																											
ABalpppapav NA																											
ABalpppapp 0.161	-2	0	2	-2	0	1	-3	-1	-2	0	1	0	0	1	4	-1		-1	2	0	0	-2	4	-3	6	14	2
ABalpppappa NA																											
ABalpppappp 0.8169																			1	3	-8	4		-6			12
ABalpppapppa NA																											
ABalpppapppp NA																											
ABalpppp 0.0501	3	0	1	-1	-1	-1	-1	0	0	-1	0	-1	0	-1	-2	0	-1	2	0	-1	0	3	-2	1	-3	-2	-3
ABalppppa 0	0	0	-1	-2	-2	0	-2	-3	0	0	0	0	-2	2	10	-2	-2	1	-3	3	1	2	-5	-3	-4	-5	-4
ABalppppaa 0.0608	4	8	1	0	-3	6	-4	-3	0	-1	-4	1	0	-1	7	-5	4	-2	-5	1	-5	0	10	14	15	16	-5
ABalppppaad NA																											
ABalppppaav NA																											
ABalppppap 0	-2	3	8	-2	-5	-1	4	-1	3	3	1	3	-2	4	1	-4	1	0	-5	-2	-5	-2	10	7	8	6	9
ABalppppapa NA																			-5		-1	6					
ABalppppapaa NA																											
ABalppppapap NA																											
ABalppppapp NA																											
ABalppppp 0.0267	-1	-1	0	-4	-1	1	2	-1	-1	2	2	-3	0	1	2	-2	-2	1	-1	2	1	2	-4	1	-3	-4	-4
ABalpppppa 0.9375	-5	1	0	2	1	-3	-1	-4	1	2	-4	8	1	-3	-4	1	1	-1	2	5	-3	0	0	5	-3	-1	-3
ABalpppppaa NA																											
ABalpppppap NA																											
ABalpppppp 0.0904	-1	1	1	0	0	-2	1	-1	5	0	-1	-1	-1	1	-5	-2	2	1	-1	1	1	1	0	2	1	2	1
ABalppppppa 0.748	-3			4											-2	4	-1		0	1	-2	-1	-5	2	13	-2	-2
ABalppppppaa NA																											
ABalppppppap NA																											
ABalppppppp 0.0403	1			6				-2				2			-6	-4	-2		-1	0	1	4	11	12	5	-1	9
ABalpppppppa NA																											
ABalpppppppp NA																											
ABar 0.0508	3	-6	3		-3	4	1	3	-3	-7	-6	-5	2	3	3	2	2	2	1	3	3	-2	-8	-4	-3	1	-4
ABara 0	3	2	0	-6	0	-1	0	0	1	0	1	2	0	-1	-2	1	2	1	0	-1	1	-1	-3	-3	-3	-3	-3
ABaraa 0.0066	1	0	-2	-2	3	-2	-1	0	-1	2	2	-1	1	-1	2	-1	-1	0	0	0	0	1	-4	-1	-6	-4	-3
ABaraaa 0.002	1	2	-1	-2	-3	-2	-1	1	0	-1	1	-1	2	0	-1	0	1	2	-1	-2	2	1	-2	-4	-5	-5	-2
ABaraaaa 1e-04	0	0	1	-1	-2	5	-2	-1	-3	0	6	-2	-1	-1	-3	1	6	1	-1	-3	2	0	-6	-5	-3	-4	-6
ABaraaaaa 0.0117	0	-1	0	1	-3	-1	1	-2	-1	1	0	-2	3	1	1	1	-1	4	-2	-3	2	-1	-4	-3	-2	-1	-1
