"Cells","Names","Birth Times","peak exp","CC X20230222_JIM188_tbx.9_die.1_L1","CC X20230223_JIM188_tbx.9_die.1_L4","CC X20230224_RW10265_tbx.8_die.1_L1","CC X20230224_RW10265_tbx.8_die.1_L3","CC X20230224_RW10265_tbx.8_die.1_L4","Position X20230222_JIM188_tbx.9_die.1_L1","Position X20230223_JIM188_tbx.9_die.1_L4","Position X20230224_RW10265_tbx.8_die.1_L1","Position X20230224_RW10265_tbx.8_die.1_L3","Position X20230224_RW10265_tbx.8_die.1_L4","Angle X20230222_JIM188_tbx.9_die.1_L1","Angle X20230223_JIM188_tbx.9_die.1_L4","Angle X20230224_RW10265_tbx.8_die.1_L1","Angle X20230224_RW10265_tbx.8_die.1_L3","Angle X20230224_RW10265_tbx.8_die.1_L4"
"ABalappppaap","death",400,15441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalappppap","IL2DR",278,8908,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalappppp",NA,219,772,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"ABalapppppa","AVJR",291,1157,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapppppp","CEPsoDR",291,772,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalp",NA,56,51,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0
"ABalpa",NA,75,80,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0
"ABalpaa",NA,102,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaaa",NA,134,581,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0
"ABalpaaaa",NA,177,4787,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,0
"ABalpaaaaa",NA,232,6949,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ABalpaaaaaa","e3VL",307,6949,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpaaaaap","m2VL",307,6949,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"ABalpaaaap",NA,232,4948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaaaapa","m1VL",318,4948,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpaaaapp","death",318,5424,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpaaap",NA,177,3126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaaapa",NA,230,3126,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"ABalpaaapaa","m2L",315,3126,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpaaapap","death",315,3126,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA
"ABalpaaapp",NA,230,3126,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0
"ABalpaaappa","death",313,6050,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA
"ABalpaaappp","MCL",313,3126,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA
"ABalpaap",NA,134,398,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0
"ABalpaapa",NA,170,2603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaapaa",NA,212,2603,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"ABalpaapaaa","arcpost",284,2603,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpaapaap","e2DL",284,2603,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpaapap",NA,212,2603,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0
"ABalpaapapa","mc1DL",263,2603,NA,NA,NA,NA,NA,1,NA,0,0,0,NA,NA,NA,NA,NA
"ABalpaapapp","m3L",263,2603,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA
"ABalpaapp",NA,170,1941,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0
"ABalpaappa",NA,222,1941,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ABalpaappaa","arc_ant",309,1941,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpaappap","arcpost",309,1941,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpaappp",NA,222,1941,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,1
"ABalpaapppa","hyp1",297,1941,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpaapppp","hyp2",297,1941,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpap",NA,102,80,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"ABalpapa",NA,133,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapaa",NA,172,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapaaa",NA,223,4101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapaaaa","RIPL",291,4101,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpapaaap","hyp2",291,4101,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpapaap",NA,223,3505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapaapa","arc_ant",310,3505,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpapaapp","death",310,3505,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpapap",NA,172,1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapapa",NA,222,3149,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ABalpapapaa","RMDDL",290,3149,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpapapap",NA,290,3149,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpapapapa","death",400,3149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalpapapapp","SMBDL",400,3149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalpapapp",NA,222,2121,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ABalpapappa","death",302,2121,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpapappp","SMBVL",302,2121,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpapp",NA,133,95,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"ABalpappa",NA,168,525,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpappaa",NA,213,5462,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ABalpappaaa","death",292,9142,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpappaap",NA,292,19422,0,NA,NA,NA,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpappaapa","I2L",400,19422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalpappaapp","death",400,19422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalpappap",NA,213,2849,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ABalpappapa","e2V",273,2849,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA
"ABalpappapp","mc3V",273,2887,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA
"ABalpappp",NA,168,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapppa",NA,213,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapppaa","I1L",324,9844,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpapppap","death",324,3130,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalpapppp",NA,213,546,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"ABalpappppa","mc1V",265,885,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA
"ABalpappppp","m3VL",265,710,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA
"ABalpp",NA,75,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ABalppa",NA,103,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppaa",NA,135,257,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ABalppaaa",NA,179,4872,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppaaaa","death",234,4872,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalppaaap",NA,234,7966,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ABalppaaapa","AVAL",311,7966,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalppaaapp","OLQsoVL",311,7966,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalppaap",NA,179,4455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppaapa","death",231,9559,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalppaapp",NA,231,8965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppaappa","death",308,19743,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalppaappp","CEPsoVL",308,8965,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalppap",NA,135,80,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
"ABalppapa",NA,172,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppapaa",NA,220,9216,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0
"ABalppapaaa","RMDVL",305,19177,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalppapaap","ILshVL",305,9394,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalppapap",NA,220,5689,1,0,0,0,0,0,1,0,0,0,0,NA,0,NA,1
"ABalppapapa","SAADL",299,5689,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalppapapp","ILsoVL",299,5689,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalppapp",NA,172,2176,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,1
"ABalppappa",NA,218,16059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppappaa","SMDVL",296,17660,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
