"Cells","Names","Birth Times","peak exp","CC X20230222_JIM188_tbx.9_die.1_L1","CC X20230223_JIM188_tbx.9_die.1_L4","CC X20230224_RW10265_tbx.8_die.1_L1","CC X20230224_RW10265_tbx.8_die.1_L3","CC X20230224_RW10265_tbx.8_die.1_L4","Position X20230222_JIM188_tbx.9_die.1_L1","Position X20230223_JIM188_tbx.9_die.1_L4","Position X20230224_RW10265_tbx.8_die.1_L1","Position X20230224_RW10265_tbx.8_die.1_L3","Position X20230224_RW10265_tbx.8_die.1_L4","Angle X20230222_JIM188_tbx.9_die.1_L1","Angle X20230223_JIM188_tbx.9_die.1_L4","Angle X20230224_RW10265_tbx.8_die.1_L1","Angle X20230224_RW10265_tbx.8_die.1_L3","Angle X20230224_RW10265_tbx.8_die.1_L4"
"ABalpaa",NA,102,3849,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"ABalpaaa",NA,134,6846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaaaa",NA,177,7608,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ABalpaaaaa",NA,232,7608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaaaaaa","e3VL",307,7608,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA
"ABalpaaaaap","m2VL",307,7608,NA,NA,NA,NA,NA,1,0,0,1,1,NA,NA,NA,NA,NA
"ABalpaaaap",NA,232,7608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaaaapa","m1VL",318,7608,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA
"ABalpaaaapp","death",318,7608,NA,NA,NA,NA,NA,1,1,0,0,0,NA,NA,NA,NA,NA
"ABalpaaap",NA,177,6846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaaapa",NA,230,6846,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ABalpaaapaa","m2L",315,6846,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalpaaapap","death",315,6846,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,NA
"ABalpaaapp",NA,230,6846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaaappa","death",313,6846,NA,NA,NA,NA,NA,0,0,0,1,1,NA,NA,NA,NA,NA
"ABalpaaappp","MCL",313,6846,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA
"ABalpaap",NA,134,9277,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaapa",NA,170,13644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaapaa",NA,212,13644,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaapaaa","arcpost",284,13644,NA,NA,NA,NA,NA,1,0,1,1,0,NA,NA,NA,NA,NA
"ABalpaapaap","e2DL",284,13644,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA
"ABalpaapap",NA,212,13644,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ABalpaapapa","mc1DL",263,13644,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA
"ABalpaapapp","m3L",263,13644,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalpaapp",NA,170,9779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaappa",NA,222,11498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaappaa","arc_ant",309,11498,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalpaappap","arcpost",309,11498,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalpaappp",NA,222,9779,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"ABalpaapppa","hyp1",297,9779,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalpaapppp","hyp2",297,9779,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalpap",NA,102,3818,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
