"","Cells","20230222_JIM188_tbx.9_die.1_L1","20230223_JIM188_tbx.9_die.1_L4","20230224_RW10265_tbx.8_die.1_L1","20230224_RW10265_tbx.8_die.1_L3","20230224_RW10265_tbx.8_die.1_L4"
"ABalppaaapa","ABalppaaapa",4.29092115331971,7.08776633863292,3.24187060198275,6.07241627697962,2.93501932098703
"ABalppaaapp","ABalppaaapp",4.12669307335378,6.09193806008986,2.63421934740597,3.54602740941494,2.63136793744665
"ABalppaap","ABalppaap",4.82790307388066,6.31234771141709,4.17049601390188,3.40883112269958,5.64727732763338
"ABalppaapa","ABalppaapa",2.52268684689421,6.04688742722147,5.38454797294898,3.77598458305007,5.93793389226759
"ABalppaapp","ABalppaapp",2.56944056039217,5.84249144450163,2.85703676485968,4.76173409276998,3.36743133609826
"ABalppaappa","ABalppaappa",4.62103481629361,6.01909183569682,2.63154422345511,8.74212538075383,3.97839163481928
"ABalppaappp","ABalppaappp",6.28618838432098,5.48547846369603,3.35486244737639,3.89422642313091,3.27070915559705
"ABalppap","ABalppap",4.10555557013504,6.9926743652907,7.42095174590087,2.80803186274916,5.96780945594275
"ABalppapa","ABalppapa",3.62274468924705,9.18203076511664,4.79682691168173,3.86430475912771,6.17248113098955
"ABalppapaa","ABalppapaa",5.12025862385618,7.35714953504048,3.47471661681494,3.11618943238748,6.23109071419005
"ABalppapaaa","ABalppapaaa",5.15050967396872,3.70573375314752,4.22351739354223,4.50891876219609,2.84760725800657
"ABalppapaap","ABalppapaap",3.74240420227456,4.08156038907435,4.78964942190425,4.85160457924874,2.55533211583587
"ABalppapap","ABalppapap",5.01281382875698,7.1590598471471,3.23335033726762,3.03000075457927,5.93238082508913
"ABalppapapa","ABalppapapa",3.69507713604497,3.89305400446373,3.38916797000078,2.94778173579596,2.57662125010972
"ABalppapapp","ABalppapapp",3.4799471242744,6.15362459561656,3.09186006851625,3.79496896078053,3.53504697021675
"ABalppapp","ABalppapp",3.80399712434998,7.63277625689007,3.30636582618021,4.33753150660019,4.28618008503918
"ABalppappa","ABalppappa",2.8021224910401,5.85117434146415,3.64928132401617,3.84017661858622,5.65530038013893
"ABalppappaa","ABalppappaa",2.72317370311913,3.69493300858214,3.15088889054435,3.79946077546193,2.64967051569388
"ABalppappap","ABalppappap",3.16376883947518,4.49785614079407,3.27901244763964,2.36977255775344,2.61650959275513
"ABalppappp","ABalppappp",3.51024219169017,4.54873380251667,4.5251732151187,3.09119917152143,5.55120083131516
"ABalppapppa","ABalppapppa",3.86503874632686,4.65426352417036,3.76366676623858,3.56739411322558,3.22106097456999
"ABalppapppp","ABalppapppp",4.686980606076,3.60188888906553,3.33727829314121,2.32416715758686,2.74193174549188
"ABalppp","ABalppp",4.03526527140528,5.25991911812719,3.32479108996374,2.95938999352561,3.49632452847212
"ABalpppa","ABalpppa",3.21233854336616,2.83120297270185,6.05756594982666,2.83578621982634,2.9298482024283
"ABalpppaa","ABalpppaa",2.02636947404414,6.11573459312549,4.56267647272489,4.59303485121956,3.31974022324646
"ABalpppaaa","ABalpppaaa",2.62183001723005,6.27961454136451,5.12184151115752,4.63322001995756,3.80513681753883
"ABalpppaaaa","ABalpppaaaa",6.81872461014463,5.37214239029093,3.02356287138274,5.52889262436062,3.56435509057921
"ABalpppaaap","ABalpppaaap",4.13043761079279,4.99072546110554,2.87848632847909,5.07342575905487,2.57263398123794
"ABalpppaap","ABalpppaap",2.75152538595471,5.62270715361144,4.22228632670439,4.68798752979758,3.3406402941605
"ABalpppaapd","ABalpppaapd",2.88210932216878,4.25753482302567,2.35249149587904,4.36407937426096,3.11967894088717
"ABalpppaapv","ABalpppaapv",2.12535364096744,5.94598073938096,2.53680755320215,5.01714465002191,2.81990012849638
"ABalpppap","ABalpppap",3.26453936358684,5.5926792670813,4.41455295372875,4.52319829924181,3.48086275161271
"ABalpppapa","ABalpppapa",3.56915193005033,6.18918269598881,3.87508732941604,5.45829363363047,4.48503880235401
"ABalpppapad","ABalpppapad",4.16142365965953,3.71907670565438,3.24257848043241,5.78476529896109,3.00979200741799
"ABalpppapav","ABalpppapav",5.40589338431355,6.07256901342386,3.25909666524089,5.13039773387899,2.86265447305041
"ABalpppapp","ABalpppapp",2.92612088270348,5.2540031169941,4.38079943548029,3.20588222838377,3.18248785737879
"ABalpppappa","ABalpppappa",2.19915980657961,3.2794129967029,2.81595308794681,2.61340160193979,2.60773936355165
"ABalpppappp","ABalpppappp",2.27457498501373,3.21565816788251,4.21258240793527,3.05843249529431,2.98788231869953
"ABalpppp","ABalpppp",3.60821904490334,3.85740861478467,6.61042919454865,2.99335690232913,3.53646860455438
"ABalppppa","ABalppppa",2.48685983004041,4.37367242993122,7.27408354854179,3.30197688336054,4.48555879306714
"ABalppppaa","ABalppppaa",2.09405889234952,4.66274702117921,4.62262087826844,3.31434870818808,4.30722114209492
"ABalppppaad","ABalppppaad",4.0865148101018,2.72136340281925,2.98620004850248,2.07002741667953,3.65007687925745
"ABalppppaav","ABalppppaav",2.68699423455446,3.30669081031097,3.74408504324581,5.57451025299375,3.01116545678433
"ABalppppap","ABalppppap",3.28549960526219,6.3050626425485,4.29409952638732,2.81343391110855,4.22765629482375
"ABalppppapa","ABalppppapa",4.20137477956557,4.04357615116664,3.39199962827053,3.14229825087864,2.30560659416282
"ABalppppapp","ABalppppapp",2.69988138704874,3.45377054332552,3.48378498367795,5.02525587598919,2.95373680472791
"ABalppppp","ABalppppp",3.06720762138,4.51853209247807,5.33099470283545,2.11548552418708,6.5679044160987
