paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20230224_RW10265_tbx.8_die.1_L4	X20230224_RW10265_tbx.8_die.1_L3	X20230224_RW10265_tbx.8_die.1_L1	X20230223_JIM188_tbx.9_die.1_L4	X20230222_JIM188_tbx.9_die.1_L1
ABalppapa 0.0015	44	47	45	44	47	46	46	48	49	47	46	48	46	46	47	44	46	50	46	49	47	46	43	45	44	41	42
ABalppapaa 0.813	86	85	88	81	78	83	85	80	84	82	80	82	86	79	78	80	86	93	81	82	84	76	87	79	82	84	80
ABalppapaaa NA																											
ABalppapaap NA																											
ABalppapap 0.0357	75	75	78	79	78	74	74	78	78	80	80	78	72	77	79	78	79	75	79	77	73	74	92	79	85	81	83
ABalppapapa NA																											
ABalppapapp NA																											
ABalppapp 0.0034	41	43	44	42	45	41	44	43	46	46	46	45	42	44	44	42	43	46	43	46	45	44	42	43	41	40	40
ABalppappa 0.0099	82	85	75	74	71	78	76	76	81	77	71	82	74	77	69	76	77	81	74	82	81	71	82	81	80	85	88
ABalppappaa NA																											
ABalppappap NA																											
ABalppappp 0.1775	67	68	67	61	66	66	66	70	89	65	68	67	64	69	69	66	63	65	66	66	65	63	71	68	68	71	68
ABalppapppa NA																			117		128	128					
ABalppapppaa NA																											
ABalppapppap NA																											
ABalppapppp NA																											
ABalppp 0.0064	30	29	28	27	30	30	29	29	28	29	31	28	29	28	28	30	29	31	28	29	30	28	26	27	25	24	27
ABalpppa 0.0141	40	38	38	36	37	37	39	36	38	40	40	37	37	38	38	38	37	38	37	36	36	38	34	38	33	33	34
ABalpppaa 0.0105	51	50	55	54	49	54	56	53	49	51	55	52	51	53	54	52	50	52	50	50	53	52	46	50	51	46	47
ABalpppaaa 0.036	83	87	80	90	82	82	85	84	83	87	80	85	86	108	84	83	83	84	86	86	85	76	114	96	91	114	90
ABalpppaaaa NA																											
ABalpppaaap NA																											
ABalpppaap 0.0094	93	93	92	97	90	84	85	88	92	90	88	92	86	97	88	92	83	91	91	86	85	86	94	96	101	102	108
ABalpppaapd NA																											
ABalpppaapv NA																											
ABalpppap 0.0898	46	44	45	44	43	44	46	41	44	46	46	45	46	47	46	44	42	44	45	49	44	48	44	43	45	40	42
ABalpppapa 0.0878	81	78	74	76	69	80	79	76	78	80	72	78	69	81	79	73	77	78	81	82	73	76	84	77	80	79	78
ABalpppapad NA																											
ABalpppapav NA																											
ABalpppapp 0.161	63	65	67	63	66	66	62	64	63	65	66	65	65	67	69	64		65	67	65	65	63	69	62	71	79	68
ABalpppappa NA																											
ABalpppappp 0.8169																			86	88	77	89		79			97
ABalpppapppa NA																											
ABalpppapppp NA																											
ABalpppp 0.0501	36	34	35	33	33	32	33	33	33	33	34	33	34	32	32	34	33	36	34	33	33	37	32	34	30	32	30
ABalppppa 0	48	47	47	46	45	48	46	44	47	47	47	48	46	49	57	46	46	48	45	50	48	49	43	45	43	42	44
ABalppppaa 0.0608	81	85	78	77	75	83	74	74	78	77	74	78	77	77	84	73	82	76	72	78	73	78	87	92	92	94	73
ABalppppaad NA																											
ABalppppaav NA																											
ABalppppap 0	68	73	78	68	66	69	74	70	73	74	71	73	69	74	71	66	71	70	66	68	65	68	80	77	78	76	80
ABalppppapa NA																			103		107	114					
ABalppppapaa NA																											
ABalppppapap NA																											
ABalppppapp NA																											
ABalppppp 0.0267	40	40	40	37	40	42	43	40	40	42	43	38	40	42	42	39	39	42	40	43	42	43	37	41	38	37	37
ABalpppppa 0.9375	68	74	74	75	75	71	72	69	75	75	69	82	74	70	69	74	74	72	76	78	70	73	73	79	70	72	70
ABalpppppaa NA																											
ABalpppppap NA																											
ABalpppppp 0.0904	50	52	52	51	51	49	52	50	56	51	50	50	50	52	46	49	52	52	50	52	52	52	50	53	52	53	52
ABalppppppa 0.748	80			87											81	87	82		83	84	82	82	78	86	96	81	81
ABalppppppaa NA																											
ABalppppppap NA																											
ABalppppppp 0.0403	75			80				71				76			68	70	72		72	74	75	78	85	86	78	72	82
ABalpppppppa NA																											
ABalpppppppp NA																											
ABar 0.0508	15	6	15		9	16	14	15	10	5	6	7	14	15	15	14	14	14	14	15	15	10	4	8	10	13	8
ABara 0	20	19	17	11	17	16	17	17	18	17	18	19	17	16	16	18	19	18	17	16	18	16	14	14	14	14	14
ABaraa 0.0066	27	26	24	23	28	24	24	26	24	27	28	24	26	24	27	24	25	25	26	25	25	26	21	24	19	21	22
ABaraaa 0.002	33	33	30	29	28	30	30	32	31	30	32	30	33	31	30	32	32	34	30	29	33	32	29	27	26	26	29
ABaraaaa 1e-04	43	43	44	42	40	48	41	41	40	43	49	41	42	42	40	44	48	43	42	40	44	43	37	38	40	39	37
