"Cells","Fates","CCTermDefects","PosTermDefects","AngTermDefects","Expression","ceh36_peak.CellsLineageOrder...1..","unc30_peak.CellsLineageOrder...1..","mls2_peak.CellsLineageOrder...1..","nob1_peak.CellsLineageOrder...1..","ceh13_peak.CellsLineageOrder...1.."
"ABplapapppp",NA,5,2,0,13727,0,0,8,1284,3742
"ABplappaaa","P3/4L",3,2,0,17714,0,0,8,832,3591
"ABplappaap","P5/6L",3,3,0,17714,0,0,8,832,2883
"ABplappapa","V3L",3,3,0,17140,0,0,8,667,2095
"ABplappapp","P7/8L",3,2,0,17140,0,0,8,667,2095
"ABplapppaaa","PVQL",3,1,0,12558,0,0,8,1290,1037
"ABplapppaap","death",3,2,0,12558,0,0,8,1290,1037
"ABplapppapa","death",3,0,0,12558,0,0,8,1290,1037
"ABplapppapp",NA,3,2,0,12558,0,0,8,1290,1037
"ABplappppa","hyp7",3,2,0,13081,0,0,8,1108,1037
"ABplappppp","TL",3,2,0,13081,0,0,8,1108,1037
"ABplpaaaaaa","SAAVL",5,0,2,9418,1323,1841,2780,0,0
"ABplpaaaaap","AWCL",5,0,2,9418,1323,1841,2780,0,0
"ABplpaaaapa","exc_duct",4,2,2,9418,1323,1841,3348,0,0
"ABplpaaaapp","DB1/3",4,1,2,9418,1323,1841,3348,0,0
"ABplpaaapaa","URAVL",5,1,2,9418,1298,1841,1265,0,0
"ABplpaaapap","CEPshVL",5,2,2,9418,1298,1841,1265,0,0
"ABplpaaappa",NA,6,0,2,9418,1298,1841,1654,0,0
"ABplpaaappp","URYVL",6,0,2,9418,1298,1841,1654,0,0
"ABplpaapaaa","RIVL",6,0,1,11361,1000,1585,79,0,0
"ABplpaapaap","AVBL",6,0,1,11361,1000,1585,79,0,0
"ABplpaapapa","AMsoL",8,1,1,11361,1000,1585,90,0,0
"ABplpaapapp","CEMVL",8,0,1,11361,1000,1585,40,0,0
"ABplpaappaa","ASHL",8,0,1,10112,936,1339,8,0,0
"ABplpaappap","RIBL",8,0,1,10112,936,1339,8,0,0
"ABplpaapppa","AIML",5,1,1,10112,936,1339,8,0,0
"ABplpaapppp",NA,6,0,1,10112,936,1339,8,0,0
"ABplpapaaaa","SMDDL",3,0,0,8835,1521,1587,8,0,0
"ABplpapaaap","AIYL",3,0,0,8835,1521,1587,8,0,0
"ABplpapaapa","SIADL",4,0,1,8835,1521,1587,8,0,0
"ABplpapaapp","SIBVL",4,2,1,8835,1521,1587,8,0,0
"ABplpapapaa","exc_gl_L",3,0,2,8835,4000,1587,8,0,0
"ABplpapapap","AVKL",3,1,2,8835,4000,1587,8,0,0
"ABplpapappa","SIAVL",2,0,2,8835,4684,1587,8,0,0
