Cell	20081128_sulston	20230224_RW10265_tbx-8_die-1_L4	20230224_RW10265_tbx-8_die-1_L3	20230224_RW10265_tbx-8_die-1_L1	20230223_JIM188_tbx-9_die-1_L4	20230222_JIM188_tbx-9_die-1_L1
ABaraaapppp	NA	NA	NA	NA	NA	NA
ABaraap	132	72.1	69.1	90.3	90.2	73.6
ABaraapa	171	103.7	100.7	127.9	123.3	106.7
ABaraapaa	229	146	143	177.1	169.5	147.5
ABaraapaaa	299	225	208.8	258.2	259.2	212.2
ABaraapaaaa	NA	NA	NA	NA	NA	NA
ABaraapaaap	NA	NA	NA	NA	NA	NA
ABaraapaap	284	210.4	199.2	243.2	237.4	204.1
ABaraapaapa	NA	NA	NA	NA	NA	NA
ABaraapaapp	NA	NA	NA	NA	NA	NA
ABaraapap	229	144.5	139.9	177.1	169.5	144.5
ABaraapapa	279	200.7	191.2	239.9	232.5	204.1
ABaraapapaa	409	NA	NA	NA	NA	NA
ABaraapapaad	NA	NA	NA	NA	NA	NA
ABaraapapaav	NA	NA	NA	NA	NA	NA
ABaraapapap	NA	NA	NA	NA	NA	NA
ABaraapapp	324	246.3	221.8	288.6	277.9	236.7
ABaraapappa	NA	NA	NA	NA	NA	NA
ABaraapappp	NA	NA	NA	NA	NA	NA
ABaraapp	171	103.7	100.7	124.9	123.3	103.7
ABaraappa	229	153.7	143	180.3	172.7	152.2
ABaraappaa	304	238.1	213.7	275	259.2	230.1
ABaraappaaa	NA	NA	NA	NA	NA	NA
ABaraappaap	NA	NA	NA	NA	NA	NA
ABaraappap	284	215.2	199.2	254.9	239.1	208.9
ABaraappapa	NA	NA	NA	NA	NA	NA
ABaraappapp	NA	NA	NA	NA	NA	NA
ABaraappp	229	149	139.9	180.3	171.1	146
ABaraapppa	279	212	186.5	241.6	237.4	213.8
ABaraapppaa	409	NA	NA	NA	NA	NA
ABaraapppaad	NA	NA	NA	NA	NA	NA
ABaraapppaav	NA	NA	NA	NA	NA	NA
ABaraapppap	NA	NA	NA	NA	NA	NA
ABaraapppp	319	233.1	216.9	295.5	276.2	246.7
ABaraappppa	NA	NA	NA	NA	NA	NA
ABaraappppp	NA	NA	NA	NA	NA	NA
ABarap	103	43.6	45.1	63.2	60.1	46.6
ABarapa	132	70.6	70.7	91.8	90.2	75.1
ABarapaa	171	103.7	103.7	129.4	126.3	108.2
ABarapaaa	234	149	147.6	183.4	179	155.2
ABarapaaaa	319	223.3	213.7	261.6	257.5	223.6
ABarapaaaaa	NA	NA	NA	NA	NA	NA
ABarapaaaap	NA	NA	NA	NA	NA	NA
ABarapaaap	324	236.4	213.7	270	264.3	236.7
ABarapaaapa	NA	NA	NA	NA	NA	NA
ABarapaaapp	NA	NA	NA	NA	NA	NA
ABarapaap	229	142.9	141.4	175.6	171.1	147.5
ABarapaapa	339	238.1	220.1	276.7	271.1	236.7
ABarapaapaa	NA	NA	NA	NA	NA	NA
ABarapaapap	NA	NA	NA	NA	NA	NA
ABarapaapp	284	200.7	191.2	239.9	225.9	197.7
ABarapaappa	NA	NA	NA	NA	NA	NA
ABarapaappp	NA	NA	NA	NA	NA	NA
ABarapap	171	102.2	102.2	126.4	123.3	105.2
ABarapapa	214	142.9	141.4	172.4	172.7	144.5
ABarapapaa	304	225	207.2	256.5	264.3	215.4
ABarapapaaa	NA	NA	NA	NA	NA	NA
ABarapapaap	389	NA	305.6	NA	NA	297.4
ABarapapaapa	NA	NA	NA	NA	NA	NA
ABarapapaapp	NA	NA	NA	NA	NA	NA
ABarapapap	279	212	199.2	246.6	252.5	207.3
ABarapapapa	NA	NA	NA	NA	NA	NA
ABarapapapp	NA	NA	NA	NA	NA	NA
ABarapapp	210	141.4	139.9	170.9	168	144.5
ABarapappa	319	264.7	243.1	NA	300.4	278.6
ABarapappaa	NA	NA	NA	NA	NA	NA
ABarapappap	NA	NA	NA	NA	NA	NA
ABarapappp	259	199.1	191.2	223.5	220.9	191.3
ABarapapppa	NA	NA	NA	NA	NA	NA
ABarapapppp	NA	NA	NA	NA	NA	NA
ABarapp	132	72.1	70.7	93.3	91.7	73.6
ABarappa	171	106.7	102.2	132.4	127.8	106.7
ABarappaa	229	152.1	146	185	180.6	152.2
ABarappaaa	304	234.8	218.5	280.1	267.7	226.8
ABarappaaaa	NA	NA	NA	NA	NA	NA
ABarappaaap	NA	NA	NA	NA	NA	NA
ABarappaap	314	243	216.9	283.5	276.2	228.5
ABarappaapa	NA	NA	NA	NA	NA	NA
ABarappaapp	NA	NA	NA	NA	NA	NA
ABarappap	219	153.7	146	181.8	174.3	149.1
ABarappapa	294	225	204	258.2	255.8	215.4
ABarappapaa	NA	NA	NA	NA	NA	NA
ABarappapap	404	NA	NA	NA	NA	NA
ABarappapapa	NA	NA	NA	NA	NA	NA
ABarappapapp	NA	NA	NA	NA	NA	NA
ABarappapp	299	236.4	210.4	268.3	264.3	223.6
ABarappappa	NA	NA	NA	NA	NA	NA
ABarappappp	NA	NA	NA	NA	NA	NA
ABarappp	171	103.7	100.7	130.9	126.3	105.2
ABarapppa	220	149	144.5	183.4	174.3	149.1
ABarapppaa	294	238.1	212	283.5	262.6	228.5
ABarapppaaa	NA	NA	NA	NA	NA	NA
ABarapppaap	NA	NA	NA	NA	NA	NA
ABarapppap	294	228.2	213.7	275	260.9	220.3
ABarapppapa	NA	NA	NA	NA	NA	NA
ABarapppapp	NA	NA	NA	NA	NA	NA
ABarapppp	219	149	141.4	181.8	174.3	146
ABarappppa	294	231.5	215.3	271.6	267.7	226.8
ABarappppaa	NA	NA	NA	NA	NA	NA
ABarappppap	NA	NA	NA	NA	NA	NA
ABarappppp	289	221.7	202.4	256.5	250.8	212.2
ABarapppppa	404	NA	NA	NA	NA	NA
ABarapppppaa	NA	NA	NA	NA	NA	NA
ABarapppppap	NA	NA	NA	NA	NA	NA
ABarapppppp	NA	NA	NA	NA	NA	NA
ABarp	73	21	22.5	37.6	36.1	24
ABarpa	103	43.6	45.1	63.2	61.6	48.1
ABarpaa	132	69.1	69.1	88.8	87.2	72.1
ABarpaaa	171	109.7	108.3	138.5	130.9	111.2
ABarpaaaa	239	158.3	153.7	194.5	180.6	155.2
ABarpaaaaa	319	264.7	249.7	333.7	316.1	256.7
ABarpaaaaal	NA	NA	NA	NA	NA	NA
ABarpaaaaar	NA	NA	NA	NA	NA	NA
ABarpaaaap	319	258	233.2	307.5	302.1	241.7
ABarpaaaapa	NA	NA	NA	NA	NA	NA
ABarpaaaapp	NA	NA	NA	NA	NA	NA
ABarpaaap	239	162.9	156.8	200.9	188.6	164.5
ABarpaaapa	314	249.6	236.5	NA	302.1	261.7
ABarpaaapaa	NA	NA	NA	NA	NA	NA
ABarpaaapap	NA	NA	NA	NA	NA	NA
ABarpaaapp	NA	NA	NA	NA	NA	NA
ABarpaap	171	103.7	100.7	124.9	121.8	105.2
ABarpaapa	219	150.6	138.4	172.4	164.8	144.5
ABarpaapaa	NA	NA	NA	NA	NA	NA
ABarpaapap	NA	NA	NA	NA	NA	NA
ABarpaapp	214	150.6	143	172.4	164.8	147.5
ABarpaappa	NA	NA	NA	NA	NA	NA
ABarpaappp	NA	NA	NA	NA	NA	NA
ABarpap	132	69.1	70.7	90.3	88.7	73.6
ABarpapa	171	100.7	103.7	124.9	123.3	105.2
ABarpapaa	230	147.5	146	181.8	172.7	153.7
ABarpapaaa	319	254.6	220.1	297.2	284.8	248.3
ABarpapaaaa	NA	NA	NA	NA	NA	NA
ABarpapaaap	NA	NA	NA	NA	NA	NA
ABarpapaap	289	216.8	204	259.9	237.4	215.4
ABarpapaapa	NA	NA	NA	NA	NA	NA
ABarpapaapp	380	NA	302.2	NA	NA	NA
ABarpapaappa	NA	NA	NA	NA	NA	NA
ABarpapaappp	NA	NA	NA	NA	NA	NA
ABarpapap	229	153.7	150.6	178.7	172.7	153.7
ABarpapapa	NA	NA	NA	NA	NA	NA
ABarpapapp	NA	NA	NA	NA	NA	NA
ABarpapp	171	103.7	105.2	127.9	123.3	108.2
ABarpappa	239	147.5	152.2	183.4	177.4	155.2
ABarpappaa	NA	NA	NA	NA	NA	NA
ABarpappap	NA	NA	NA	NA	NA	NA
ABarpappp	219	150.6	146	177.1	168	150.6
ABarpapppa	NA	NA	NA	NA	NA	NA
ABarpapppp	NA	NA	NA	NA	NA	NA
ABarpp	103	45.1	46.6	63.2	61.6	48.1
ABarppa	132	70.6	72.2	90.3	90.2	73.6
ABarppaa	171	111.2	108.3	130.9	135.4	109.7
ABarppaaa	234	169.1	163	197.7	204.6	161.4
ABarppaaaa	NA	NA	NA	NA	NA	NA
ABarppaaap	NA	NA	NA	NA	NA	NA
ABarppaap	229	167.6	158.3	191.3	195	155.2
ABarppaapa	NA	NA	NA	NA	NA	NA
ABarppaapp	434	NA	NA	NA	NA	NA
ABarppaappa	NA	NA	NA	NA	NA	NA
ABarppaappp	NA	NA	NA	NA	NA	NA
ABarppap	171	115.7	111.3	133.9	133.9	117.2
ABarppapa	229	212	192.8	189.8	187	NA
ABarppapaa	NA	NA	NA	NA	NA	NA
ABarppapap	NA	NA	NA	NA	NA	NA
ABarppapp	229	NA	NA	188.2	201.4	NA
ABarppappa	NA	NA	NA	NA	NA	NA
ABarppappp	NA	NA	NA	NA	NA	NA
ABarppp	132	70.6	73.7	90.3	90.2	75.1
ABarpppa	171	109.7	108.3	132.4	130.9	112.7
ABarpppaa	234	164.5	155.2	188.2	193.4	161.4
ABarpppaaa	NA	NA	NA	NA	NA	NA
ABarpppaap	NA	NA	NA	NA	NA	NA
ABarpppap	229	159.8	153.7	183.4	188.6	159.9
ABarpppapa	NA	NA	NA	NA	NA	NA
ABarpppapp	429	NA	NA	NA	NA	NA
ABarpppappa	NA	NA	NA	NA	NA	NA
ABarpppappp	NA	NA	NA	NA	NA	NA
ABarpppp	171	112.7	112.8	137	132.4	114.2
ABarppppa	229	166	NA	NA	185.4	164.5
ABarppppaa	NA	NA	NA	NA	NA	NA
ABarppppap	NA	NA	NA	NA	NA	NA
ABarppppp	224	164.5	NA	NA	187	167.7
ABarpppppa	NA	NA	NA	NA	NA	NA
ABarpppppp	NA	NA	NA	NA	NA	NA
ABp	33	0	0	10.5	7.5	0
ABpl	51	7.5	9	22.5	21	9
ABpla	73	21	21	37.6	37.6	24
ABplaa	103	43.6	43.6	61.7	61.6	48.1
ABplaaa	132	70.6	67.6	90.3	91.7	73.6
ABplaaaa	171	106.7	102.2	126.4	130.9	109.7
ABplaaaaa	229	156.7	144.5	177.1	183.8	155.2
ABplaaaaaa	319	268	248.1	NA	298.7	248.3
ABplaaaaaaa	NA	NA	NA	NA	NA	NA
ABplaaaaaap	NA	NA	NA	NA	NA	NA
