"","Cells","20230222_JIM188_tbx.9_die.1_L1","20230223_JIM188_tbx.9_die.1_L4","20230224_RW10265_tbx.8_die.1_L1","20230224_RW10265_tbx.8_die.1_L3","20230224_RW10265_tbx.8_die.1_L4"
"ABalpaap","ABalpaap",2.96517723936429,3.66123656715423,5.16755006320976,1.97719038058738,3.99837974942091
"ABalpaapa","ABalpaapa",4.72487333021112,5.12530069491727,4.34735902138607,2.65313925712325,4.60996084299687
"ABalpaapaa","ABalpaapaa",3.15632287087863,3.38354235316511,2.71819020528728,3.49350565464115,1.90441251985672
"ABalpaapaaa","ABalpaapaaa",2.99702893371462,3.32160496581036,3.3021001013985,2.31654816556631,1.2837676509537
"ABalpaapaap","ABalpaapaap",2.87667268315802,1.98402747041941,1.34828279860048,1.77558773237738,2.33721927794675
"ABalpaapap","ABalpaapap",4.12682471110902,3.38449709391149,3.15688212270007,2.63800937232999,2.23793411365729
"ABalpaapapa","ABalpaapapa",3.38965110995863,2.17928334359137,2.96417049155721,1.6652827462973,2.28629727110284
"ABalpaapapp","ABalpaapapp",2.70791268037672,2.04632866335679,1.61411928162185,1.61143172308169,1.2864212782281
"ABalpaapp","ABalpaapp",4.63487634891385,6.35748710198846,2.47735252719869,1.86227294160305,4.45467730215338
"ABalpaappa","ABalpaappa",3.28669867315106,3.63860910477902,2.79961569674446,1.60727184126897,1.67842526528377
"ABalpaappaa","ABalpaappaa",1.52393944279128,2.91518004547669,2.01721099889286,2.16889698166763,1.22302373735112
"ABalpaappap","ABalpaappap",1.89744059617234,2.79675974499313,2.32434345404902,2.35320173345478,1.51527683362919
"ABalpaappp","ABalpaappp",3.72262839391206,4.03595456703793,2.32668166777229,2.18473986935251,2.21015857830576
"ABalpaapppa","ABalpaapppa",1.8212597565004,3.29942879048068,2.43624847407743,2.34944377543524,1.52354599947396
"ABalpaapppp","ABalpaapppp",2.20560393837013,3.05157599181856,2.54418793729922,3.36604537457222,2.11373514263979
"ABalpap","ABalpap",3.30889367972277,3.87473882984953,4.2904466126582,2.10537240594145,3.93063782815138
"ABalpapa","ABalpapa",4.66341800417895,4.75015953813723,5.14906054002822,2.67259761196545,3.04958632986515
"ABalpapaa","ABalpapaa",6.25945784372832,6.42911267846221,4.11589709670551,2.86942176719163,2.7131866234308
"ABalpapaaa","ABalpapaaa",3.44275413955443,2.67584277524325,2.58048497127986,1.21442011085469,1.6012044930938
"ABalpapaaaa","ABalpapaaaa",4.4884551549156,2.67240130549837,2.38816996923736,2.074448955777,1.86162239758363
"ABalpapaaap","ABalpapaaap",6.04325116608401,1.86091471917919,2.34395848408917,2.99433476576267,2.41256056754842
"ABalpapaap","ABalpapaap",3.32652043585929,3.55856878691725,1.75677183328389,1.37696548627683,2.07797209068939
"ABalpapaapa","ABalpapaapa",3.24384118541143,1.69528065980976,2.34033810720064,2.60108486362898,1.91725449697635
"ABalpapaapp","ABalpapaapp",2.85426199185855,2.33590093538574,1.72071122655169,1.93474645181261,2.12951269575532
"ABalpapap","ABalpapap",6.34049706062571,5.70251150277183,2.6957123311145,2.07936099376847,2.99721776997845
"ABalpapapa","ABalpapapa",3.51116635525881,3.78352628632247,1.7614454334131,1.1764228710199,3.86679749211384
