Cell	20081128_sulston	20221004_JIM712_ceh-32_L4	20221004_JIM712_ceh-32_L2	20220915_JIM712_ceh-32_L4	20220923_JIM712_ceh-32_L4
ABarpapaa	230	224.3	226.2	223	223.3
ABarpapaaa	319	313.9	311.4	315.3	288.4
ABarpapaaaa	NA	NA	NA	NA	NA
ABarpapaaap	NA	NA	NA	NA	NA
ABarpapaap	289	282.9	291	290.7	285.1
ABarpapaapa	NA	NA	NA	NA	NA
ABarpapaapp	380	NA	NA	NA	NA
ABarpapaappa	NA	NA	NA	NA	NA
ABarpapaappp	NA	NA	NA	NA	NA
ABarpapap	229	220.9	224.4	220.4	220.2
ABarpapapa	NA	NA	NA	NA	NA
ABarpapapp	NA	NA	NA	NA	NA
ABarpapp	171	169.4	172.3	169.7	173
ABarpappa	239	229.6	228	223	226.3
ABarpappaa	NA	NA	NA	NA	NA
ABarpappap	NA	NA	NA	NA	NA
ABarpappp	219	219.1	220.9	220.4	221.8
ABarpapppa	NA	NA	NA	NA	NA
ABarpapppp	NA	NA	NA	NA	NA
ABarpp	103	103.3	101.3	104.1	103.7
ABarppa	132	132.8	131.7	132.8	131.7
ABarppaa	171	176.2	175.7	177.7	180.6
ABarppaaa	234	234.8	233.2	231.1	237.3
ABarppaaaa	NA	NA	NA	NA	NA
ABarppaaap	NA	NA	NA	NA	NA
ABarppaap	229	229.6	228	225.8	234.2
ABarppaapa	NA	NA	NA	NA	NA
ABarppaapp	434	NA	NA	NA	NA
ABarppaappa	NA	NA	NA	NA	NA
ABarppaappp	NA	NA	NA	NA	NA
ABarppap	171	176.2	180.8	180.3	177.5
ABarppapa	229	234.8	236.8	236.5	231
ABarppapaa	NA	NA	NA	NA	NA
ABarppapap	NA	NA	NA	NA	NA
ABarppapp	229	236.5	236.8	236.5	232.6
ABarppappa	NA	NA	NA	NA	NA
ABarppappp	NA	NA	NA	NA	NA
ABarppp	132	134.5	131.7	132.8	133.1
ABarpppa	171	176.2	174	175	174.5
ABarpppaa	234	229.6	231.4	228.4	232.6
ABarpppaaa	NA	NA	NA	NA	NA
ABarpppaap	NA	NA	NA	NA	NA
ABarpppap	229	226.1	226.2	223	223.3
ABarpppapa	NA	NA	NA	NA	NA
ABarpppapp	429	NA	NA	NA	NA
ABarpppappa	NA	NA	NA	NA	NA
ABarpppappp	NA	NA	NA	NA	NA
ABarpppp	171	176.2	180.8	177.7	176.1
ABarppppa	229	231.3	235	233.8	237.3
ABarppppaa	NA	NA	NA	NA	NA
ABarppppap	NA	NA	NA	NA	NA
ABarppppp	224	234.8	236.8	233.8	235.7
ABarpppppa	NA	NA	NA	NA	NA
ABarpppppp	NA	NA	NA	NA	NA
ABp	33	36.1	45.7	47.4	55.2
ABpl	51	54.1	50.7	55.1	62.5
ABpla	73	72.2	69.2	73	78.6
ABplaa	103	96.8	96.3	99	100.8
ABplaaa	132	129.5	126.7	130.2	130.2
ABplaaaa	171	169.4	172.3	175	167.1
ABplaaaaa	229	222.6	226.2	228.4	217.2
ABplaaaaaa	319	317.6	326.3	320.9	317.7
ABplaaaaaaa	NA	NA	NA	NA	NA
ABplaaaaaap	NA	NA	NA	NA	NA
ABplaaaaap	294	292	294.7	290.7	285.1
ABplaaaaapa	NA	NA	NA	NA	NA
ABplaaaaapp	384	NA	NA	NA	NA
ABplaaaaappa	NA	NA	NA	NA	NA
ABplaaaaappp	NA	NA	NA	NA	NA
ABplaaaap	229	224.3	229.8	231.1	217.2
ABplaaaapa	NA	NA	NA	NA	NA
ABplaaaapp	NA	NA	NA	NA	NA
ABplaaap	171	169.4	170.6	175	174.5
ABplaaapa	239	233.1	228	225.8	227.9
ABplaaapaa	NA	NA	NA	NA	NA
ABplaaapap	NA	NA	NA	NA	NA
ABplaaapp	224	224.3	222.6	225.8	224.9
ABplaaappa	NA	NA	NA	NA	NA
ABplaaappp	NA	NA	NA	NA	NA
ABplaap	132	129.5	126.7	127.6	128.7
ABplaapa	171	169.4	167.2	172.3	167.1
ABplaapaa	229	224.3	217.3	220.4	217.2
ABplaapaaa	309	310.2	305.8	301.7	309.5
