Cells,WTDivMeans.Cells.,LateCalls,EarlyCalls,MissedCalls,EctopicCalls,TotalDefects,CC_Dif_pValues,WTCCMeans.Cells.,MutantCCMeans.Cells.
ABalpapaap,308.922727272727,0,0,0,0,0,0.0424026100738952,85.5045454545455,78.8
ABalpapaapa,NA,0,0,0,0,0,NA,NA,NA
ABalpapaapp,NA,0,0,0,0,0,NA,NA,NA
ABalpapap,220.936363636364,0,0,0,0,0,0.215976386100314,48.2227272727273,49.075
ABalpapapa,289.218181818182,1,0,0,0,1,0.0382541051101168,66.6681818181818,70.825
ABalpapapaa,NA,0,0,0,0,0,NA,NA,NA
ABalpapapap,400.766666666667,0,0,0,0,0,NA,108.633333333333,NA
ABalpapapapa,NA,0,0,0,0,0,NA,NA,NA
ABalpapapapp,NA,0,0,0,0,0,NA,NA,NA
ABalpapapp,300.840909090909,1,1,0,0,2,0.584509759934014,78.2818181818182,74.925
ABalpapappa,NA,0,0,0,0,0,NA,NA,NA
ABalpapappp,NA,0,0,0,0,0,NA,NA,NA
ABalpapp,167.322727272727,0,0,0,0,0,0.0404554063163142,33.3772727272727,34.525
ABalpappa,212.495454545455,0,0,0,0,0,0.0656871711144746,43.5409090909091,42.225
ABalpappaa,290.913636363636,0,0,0,0,0,0.7892049433365,76.7727272727273,76.225
ABalpappaaa,NA,0,0,0,0,0,NA,NA,NA
ABalpappaap,393.666666666667,0,0,0,0,0,NA,102.7,NA
ABalpappaapa,NA,0,0,0,0,0,NA,NA,NA
ABalpappaapp,NA,0,0,0,0,0,NA,NA,NA
ABalpappap,271.745454545455,0,0,0,0,0,0.702777596629964,57.6227272727273,56.8
ABalpappapa,NA,0,0,0,0,0,NA,NA,NA
ABalpappapp,NA,0,0,0,0,0,NA,NA,NA
ABalpappp,212.122727272727,0,0,0,0,0,0.186071454644853,43.1727272727273,45.1
ABalpapppa,322.8,0,0,0,0,0,0.52365441222658,109.145,113.7
ABalpapppaa,NA,0,0,0,0,0,NA,NA,NA
ABalpapppap,NA,0,0,0,0,0,NA,NA,NA
ABalpapppp,264.313636363636,1,0,0,0,1,0.469466927469099,50.5727272727273,52.375
ABalpappppa,NA,0,0,0,0,0,NA,NA,NA
ABalpappppp,NA,0,0,0,0,0,NA,NA,NA
ABalpp,102.118181818182,0,0,0,0,0,0.19393040730724,26.3590909090909,24.55
ABalppa,134.1,0,0,0,0,0,0.464019251417262,30.2636363636364,29.5
ABalppaa,178.031818181818,0,0,0,0,0,0.955795073310895,42.3045454545455,42.375
ABalppaaa,232.568181818182,1,0,0,0,1,0.13893882422181,52.9090909090909,56.1
ABalppaaaa,NA,0,0,0,0,0,NA,NA,NA
ABalppaaap,310.081818181818,0,0,0,0,0,0.886012504510614,75.8636363636364,75.6
ABalppaaapa,NA,0,0,0,0,0,NA,NA,NA
ABalppaaapp,NA,0,0,0,0,0,NA,NA,NA
ABalppaap,230.345454545455,0,0,0,0,0,0.441125592391101,50.6772727272727,51.55
ABalppaapa,NA,0,0,0,0,0,NA,NA,NA
ABalppaapp,307.213636363636,0,0,0,0,0,0.416932150348617,75.2272727272727,72.575
ABalppaappa,NA,0,0,0,0,0,NA,NA,NA
ABalppaappp,NA,0,0,0,0,0,NA,NA,NA
ABalppap,171.172727272727,0,0,0,0,0,0.895303651408341,35.4363636363636,35.35
ABalppapa,219.345454545455,0,0,0,0,0,0.668683952159386,46.5272727272727,46.95
ABalppapaa,303.659090909091,0,0,0,0,0,0.430353196458525,82.6863636363636,80.55
