Cell	20081128_sulston	20221004_JIM712_ceh-32_L4	20221004_JIM712_ceh-32_L2	20220915_JIM712_ceh-32_L4	20220923_JIM712_ceh-32_L4
ABaraapappa	NA	NA	NA	NA	NA
ABaraapappp	NA	NA	NA	NA	NA
ABaraapp	171	137.4	108.3	111.7	115.9
ABaraappa	229	183.1	153	158	162.4
ABaraappaa	304	258.4	227	227.2	260
ABaraappaaa	NA	NA	NA	NA	NA
ABaraappaap	NA	NA	NA	NA	NA
ABaraappap	284	246.7	213.8	217.2	228.5
ABaraappapa	NA	NA	NA	NA	NA
ABaraappapp	NA	NA	NA	NA	NA
ABaraappp	229	179.9	149.9	158	162.4
ABaraapppa	279	235.1	208.9	214.7	216.9
ABaraapppaa	409	NA	NA	NA	NA
ABaraapppaad	NA	NA	NA	NA	NA
ABaraapppaav	NA	NA	NA	NA	NA
ABaraapppap	NA	NA	NA	NA	NA
ABaraapppp	319	271.9	233.6	237.2	278.5
ABaraappppa	NA	NA	NA	NA	NA
ABaraappppp	NA	NA	NA	NA	NA
ABarap	103	72.2	46.6	47.1	49.6
ABarapa	132	100.7	76.7	78	79.7
ABarapaa	171	139	111.4	114.1	120.5
ABarapaaa	234	192.7	159.3	162.9	176.6
ABarapaaaa	319	270.2	230.3	229.7	273.5
ABarapaaaaa	NA	NA	NA	NA	NA
ABarapaaaap	NA	NA	NA	NA	NA
ABarapaaap	324	275.2	243.5	239.7	281.9
ABarapaaapa	NA	NA	NA	NA	NA
ABarapaaapp	NA	NA	NA	NA	NA
ABarapaap	229	181.5	154.6	158	165.6
ABarapaapa	339	NA	240.2	239.7	288.7
ABarapaapaa	NA	NA	NA	NA	NA
ABarapaapap	NA	NA	NA	NA	NA
ABarapaapp	284	238.5	208.9	232.2	228.5
ABarapaappa	NA	NA	NA	NA	NA
ABarapaappp	NA	NA	NA	NA	NA
ABarapap	171	135.9	108.3	111.7	117.4
ABarapapa	214	178.3	151.5	155.5	164
ABarapapaa	304	246.7	228.6	227.2	250
ABarapapaaa	NA	NA	NA	NA	NA
ABarapapaap	389	NA	NA	NA	NA
ABarapapaapa	NA	NA	NA	NA	NA
ABarapapaapp	NA	NA	NA	NA	NA
ABarapapap	279	233.5	217.1	219.7	233.4
ABarapapapa	NA	NA	NA	NA	NA
ABarapapapp	NA	NA	NA	NA	NA
ABarapapp	210	176.7	149.9	153.1	160.8
ABarapappa	319	NA	253.5	262.3	304.1
ABarapappaa	NA	NA	NA	NA	NA
ABarapappap	NA	NA	NA	NA	NA
ABarapappp	259	228.6	200.8	204.8	213.7
ABarapapppa	NA	NA	NA	NA	NA
ABarapapppp	NA	NA	NA	NA	NA
ABarapp	132	102.3	75.2	78	79.7
ABarappa	171	140.5	111.4	119	120.5
ABarappaa	229	191.1	160.9	165.3	176.6
ABarappaaa	304	275.2	241.8	237.2	268.4
ABarappaaaa	NA	NA	NA	NA	NA
ABarappaaap	NA	NA	NA	NA	NA
ABarappaap	314	265.1	248.5	239.7	265
ABarappaapa	NA	NA	NA	NA	NA
ABarappaapp	NA	NA	NA	NA	NA
ABarappap	219	187.9	159.3	167.8	168.7
ABarappapa	294	253.4	227	234.7	245
ABarappapaa	NA	NA	NA	NA	NA
ABarappapap	404	NA	NA	NA	NA
ABarappapapa	NA	NA	NA	NA	NA
ABarappapapp	NA	NA	NA	NA	NA
ABarappapp	299	260.1	235.2	234.7	251.7
ABarappappa	NA	NA	NA	NA	NA
ABarappappp	NA	NA	NA	NA	NA
ABarappp	171	137.4	106.8	111.7	117.4
ABarapppa	220	186.3	154.6	158	170.3
ABarapppaa	294	266.8	233.6	237.2	256.7
ABarapppaaa	NA	NA	NA	NA	NA
ABarapppaap	NA	NA	NA	NA	NA
ABarapppap	294	258.4	227	234.7	253.3
ABarapppapa	NA	NA	NA	NA	NA
ABarapppapp	NA	NA	NA	NA	NA
ABarapppp	219	179.9	151.5	155.5	165.6
ABarappppa	294	253.4	236.9	234.7	253.3
ABarappppaa	NA	NA	NA	NA	NA
ABarappppap	NA	NA	NA	NA	NA
ABarappppp	289	240.1	218.7	227.2	241.7
ABarapppppa	404	NA	NA	NA	NA
ABarapppppaa	NA	NA	NA	NA	NA
ABarapppppap	NA	NA	NA	NA	NA
ABarapppppp	NA	NA	NA	NA	NA
ABarp	73	46.6	21	23.4	24
ABarpa	103	72.2	46.6	49.4	48.1
ABarpaa	132	99.2	73.7	75.6	78.2
ABarpaaa	171	146.7	115.9	121.4	125.1
ABarpaaaa	239	195.9	162.5	170.2	181.4
ABarpaaaaa	319	NA	236.9	252.3	290.4
ABarpaaaaal	NA	NA	NA	NA	NA
ABarpaaaaar	NA	NA	NA	NA	NA
ABarpaaaap	319	265.1	235.2	247.2	261.7
ABarpaaaapa	NA	NA	NA	NA	NA
ABarpaaaapp	NA	NA	NA	NA	NA
ABarpaaap	239	204	165.6	175.1	184.6
ABarpaaapa	314	NA	241.8	249.8	287
ABarpaaapaa	NA	NA	NA	NA	NA
ABarpaaapap	NA	NA	NA	NA	NA
ABarpaaapp	NA	NA	NA	NA	NA
ABarpaap	171	135.9	108.3	111.7	117.4
ABarpaapa	219	184.7	149.9	162.9	164
ABarpaapaa	NA	NA	NA	NA	NA
ABarpaapap	NA	NA	NA	NA	NA
ABarpaapp	214	183.1	151.5	160.4	164
ABarpaappa	NA	NA	NA	NA	NA
ABarpaappp	NA	NA	NA	NA	NA
ABarpap	132	100.7	75.2	75.6	79.7
ABarpapa	171	135.9	112.9	111.7	119
ABarpapaa	230	186.3	160.9	160.4	171.9
ABarpapaaa	319	268.5	236.9	244.7	238.4
ABarpapaaaa	NA	NA	NA	NA	NA
ABarpapaaap	NA	NA	NA	NA	NA
ABarpapaap	289	240.1	218.7	222.2	235.1
ABarpapaapa	NA	NA	NA	NA	NA
ABarpapaapp	380	NA	NA	NA	NA
ABarpapaappa	NA	NA	NA	NA	NA
ABarpapaappp	NA	NA	NA	NA	NA
ABarpapap	229	183.1	159.3	158	168.7
ABarpapapa	NA	NA	NA	NA	NA
ABarpapapp	NA	NA	NA	NA	NA
ABarpapp	171	135.9	112.9	111.7	120.5
ABarpappa	239	191.1	162.5	160.4	175
ABarpappaa	NA	NA	NA	NA	NA
ABarpappap	NA	NA	NA	NA	NA
ABarpappp	219	181.5	156.2	158	170.3
ABarpapppa	NA	NA	NA	NA	NA
ABarpapppp	NA	NA	NA	NA	NA
ABarpp	103	75.2	49.6	51.8	49.6
ABarppa	132	102.3	76.7	78	78.2
ABarppaa	171	142.1	115.9	119	128.2
ABarppaaa	234	195.9	167.2	167.8	186.2
ABarppaaaa	NA	NA	NA	NA	NA
ABarppaaap	NA	NA	NA	NA	NA
ABarppaap	229	191.1	162.5	162.9	183
ABarppaapa	NA	NA	NA	NA	NA
ABarppaapp	434	NA	NA	NA	NA
ABarppaappa	NA	NA	NA	NA	NA
ABarppaappp	NA	NA	NA	NA	NA
ABarppap	171	142.1	120.5	121.4	125.1
ABarppapa	229	195.9	170.4	172.7	179.8
ABarppapaa	NA	NA	NA	NA	NA
ABarppapap	NA	NA	NA	NA	NA
ABarppapp	229	197.5	170.4	172.7	181.4
ABarppappa	NA	NA	NA	NA	NA
ABarppappp	NA	NA	NA	NA	NA
ABarppp	132	103.8	76.7	78	79.7
ABarpppa	171	142.1	114.4	116.5	122
ABarpppaa	234	191.1	165.6	165.3	181.4
ABarpppaaa	NA	NA	NA	NA	NA
ABarpppaap	NA	NA	NA	NA	NA
ABarpppap	229	187.9	160.9	160.4	171.9
ABarpppapa	NA	NA	NA	NA	NA
ABarpppapp	429	NA	NA	NA	NA
ABarpppappa	NA	NA	NA	NA	NA
ABarpppappp	NA	NA	NA	NA	NA
ABarpppp	171	142.1	120.5	119	123.6
ABarppppa	229	192.7	168.8	170.2	186.2
ABarppppaa	NA	NA	NA	NA	NA
ABarppppap	NA	NA	NA	NA	NA
ABarppppp	224	195.9	170.4	170.2	184.6
ABarpppppa	NA	NA	NA	NA	NA
ABarpppppp	NA	NA	NA	NA	NA
ABp	33	13.5	0	0	0
ABpl	51	30	4.5	7	7.5
ABpla	73	46.6	21	23.4	24
ABplaa	103	69.2	45.1	47.1	46.6
ABplaaa	132	99.2	72.2	75.6	76.7
ABplaaaa	171	135.9	112.9	116.5	114.4
ABplaaaaa	229	184.7	160.9	165.3	165.6
ABplaaaaaa	319	271.9	250.2	249.8	268.4
ABplaaaaaaa	NA	NA	NA	NA	NA
ABplaaaaaap	NA	NA	NA	NA	NA
ABplaaaaap	294	248.4	222	222.2	235.1
ABplaaaaapa	NA	NA	NA	NA	NA
ABplaaaaapp	384	NA	NA	NA	NA
ABplaaaaappa	NA	NA	NA	NA	NA
