"","Cells","20220915_JIM712_ceh.32_L4","20220923_JIM712_ceh.32_L4","20221004_JIM712_ceh.32_L2","20221004_JIM712_ceh.32_L4"
"ABalpapapap","ABalpapapap",3.25505410598322,1.96692389646545,2.95306157090858,3.90097754841522
"ABalpapapp","ABalpapapp",2.60338429422977,1.50126731946034,2.77872092893529,4.43932901956184
"ABalpapappa","ABalpapappa",6.38733164528231,2.05903065475918,6.73819725941906,5.76020977133119
"ABalpapappp","ABalpapappp",6.10707099527427,2.4369680423576,5.38954178654306,5.38974173474053
"ABalpapp","ABalpapp",2.83918261389571,2.02380622347372,4.37888934152149,1.74768400785026
"ABalpappa","ABalpappa",3.35696152923108,3.04154208842367,4.54924146565503,4.8216987598137
"ABalpappaa","ABalpappaa",2.04447946071738,1.63797824392153,2.79199433496254,3.54867814854147
"ABalpappaaa","ABalpappaaa",4.09827702013269,1.86052102908645,6.79226546288941,2.33078351599766
"ABalpappaap","ABalpappaap",3.93130690371341,1.90916255071099,4.39322622812845,2.40927818883829
"ABalpappap","ABalpappap",2.85730318101441,1.3153215066509,2.70462847492793,3.76625147649613
"ABalpappapa","ABalpappapa",3.11946131530215,1.65007710324097,2.23081378581284,2.7298617731036
"ABalpappapp","ABalpappapp",5.11832282700921,4.11510923350458,2.74501709303964,1.86470322516044
"ABalpappp","ABalpappp",2.48809048206628,3.00799325592853,2.8332017447754,3.28426648295625
"ABalpapppa","ABalpapppa",2.18688425247198,2.69119670255147,1.92410195771643,2.04278556839193
"ABalpapppaa","ABalpapppaa",2.68081110668143,3.3990684557823,2.3663630475925,NA
"ABalpapppap","ABalpapppap",3.53960378748531,4.27389807651046,4.02015176889766,NA
"ABalpapppp","ABalpapppp",1.71999146595953,2.19884421654302,2.78171779323285,2.15577939220579
"ABalpappppa","ABalpappppa",2.55923262805963,2.35132570775871,2.48214210305667,1.58178454604074
"ABalpappppp","ABalpappppp",3.85140605092873,2.63209257141901,2.40553702427204,1.82836093369087
"ABalpp","ABalpp",3.52462420649997,3.07146491265021,2.55065997408177,2.39420357642214
"ABalppa","ABalppa",3.94154391687999,1.83626732840586,1.9690928825189,2.35688981683155
"ABalppaa","ABalppaa",3.42526987209557,2.79174860808975,3.28531547369656,3.20980436541697
"ABalppaaa","ABalppaaa",2.94849694731535,3.53692629581168,2.05732065200517,2.75721825707514
"ABalppaaaa","ABalppaaaa",3.82474143639315,2.32216470397557,3.07341610881516,3.80198592044839
"ABalppaaap","ABalppaaap",4.58001379039766,2.21792109155104,2.63557827604167,3.46277727730324
"ABalppaaapa","ABalppaaapa",1.272266959756,1.4235802465352,3.8052548343935,NA
"ABalppaaapp","ABalppaaapp",1.40883222885137,2.87640304800461,7.89158443703291,NA
"ABalppaap","ABalppaap",3.5388321990597,4.08988171493447,2.50440191787649,3.06979564262731
"ABalppaapa","ABalppaapa",3.78338872988385,4.98387839180122,3.24648208408588,3.22564132352407
"ABalppaapp","ABalppaapp",3.08526773899863,6.47184556962964,2.71271811829849,3.31397035065166
"ABalppaappa","ABalppaappa",3.0043383636814,4.67512452413231,5.6331359888177,3.80777450591783
"ABalppaappp","ABalppaappp",4.21403362331552,4.11152733523164,4.68795017417433,3.97436789578708
"ABalppap","ABalppap",6.24220222807455,2.58899080054903,3.70453452927784,2.05218867396189
"ABalppapa","ABalppapa",3.77483310294356,2.52381510321613,2.85157843646799,2.67105673035531
"ABalppapaa","ABalppapaa",3.12928440400929,2.21228541173897,1.84392782084831,2.28415826478413
"ABalppapaaa","ABalppapaaa",2.94889810569662,3.87547651777376,4.40758641999063,1.56020463271622
"ABalppapaap","ABalppapaap",3.15019715238726,3.20025717057705,4.32250949329603,1.72809827399887
"ABalppapap","ABalppapap",2.50186526225577,2.51770370724561,3.29306412007855,2.61981928651426
"ABalppapapa","ABalppapapa",4.38399226359079,3.30932197861265,4.94402802983308,1.76843207514933
"ABalppapapp","ABalppapapp",4.50510047660271,2.60708929170971,3.60439387820653,1.96491550555134
"ABalppapp","ABalppapp",2.53928651020014,2.88436701453641,2.56196413306052,3.21398429717962
"ABalppappa","ABalppappa",2.72835562127438,2.22138608268829,2.25363562620843,1.95860348855506
"ABalppappaa","ABalppappaa",3.13263509060219,1.06033693426161,3.47313809795301,1.77843787983326
"ABalppappap","ABalppappap",3.68890023207245,1.7721260801794,4.29313191984798,1.42093187389373
"ABalppappp","ABalppappp",2.86607080087438,1.91900420573928,2.27725356866093,2.53483347186404
"ABalppapppa","ABalppapppa",4.74188737274702,2.62436481019162,4.94933526584387,1.37705933466537
"ABalppapppp","ABalppapppp",4.41852263196913,2.23060777513535,3.76383607612695,1.87087817452418
"ABalppp","ABalppp",4.41101901559293,2.70083536075648,3.00494674047621,1.71399069358471
"ABalpppa","ABalpppa",3.26225799227608,3.73067496097555,2.19842753791516,2.58320257397131
"ABalpppaa","ABalpppaa",2.40503388831269,3.1240648346086,3.00308215216457,1.85536292636388
"ABalpppaaa","ABalpppaaa",2.53578039941641,2.97495227668546,3.5674400726491,1.9001242210907
"ABalpppaaaa","ABalpppaaaa",2.10894329537257,4.92271858169745,4.27481797854903,1.29355083709682
"ABalpppaaap","ABalpppaaap",2.73976814350482,2.02633471536937,6.40411634930218,1.25171648907767
"ABalpppaap","ABalpppaap",1.34701292235,3.52281539439087,3.11151839654377,1.85245965742327
"ABalpppaapd","ABalpppaapd",1.41017071070639,3.8743951305758,3.59637921547382,2.87391131618204
"ABalpppaapv","ABalpppaapv",2.27256870140848,2.38903998370546,4.92440104280354,1.08682669278918
"ABalpppap","ABalpppap",1.74031892886404,2.95255596333701,2.34563526412535,2.16446783999222
"ABalpppapa","ABalpppapa",1.83963399787526,2.38870750598967,1.09298499058577,1.19214640282079
"ABalpppapad","ABalpppapad",1.7334109367143,3.22008204428404,3.93285286534443,1.55498747526747
"ABalpppapav","ABalpppapav",2.83116995127468,2.54223735555025,4.91685867956998,1.44442278242566
"ABalpppapp","ABalpppapp",1.16195284127185,2.2008146014446,1.44208084839103,1.4332154668658
"ABalpppappa","ABalpppappa",2.15521680014729,1.8411386530626,3.81167238813078,1.496703283277
"ABalpppappp","ABalpppappp",2.07359899046751,2.57837416987884,2.00862288947173,1.69678525919178
"ABalpppp","ABalpppp",3.48612044697528,2.88535492278682,1.62161113197082,1.50863001538895
"ABalppppa","ABalppppa",2.67272576479993,4.37835410905147,3.67032080040973,1.92191752461688
"ABalppppaa","ABalppppaa",2.18144868126913,1.26806254782747,2.6272804912792,0.878733183763396
"ABalppppaad","ABalppppaad",3.65458689939191,1.04339494597343,4.04205910216954,1.99072585578028
"ABalppppaav","ABalppppaav",2.93129672383824,3.06538893663169,3.29981476099474,1.12538133980624
"ABalppppap","ABalppppap",2.30946431463818,1.56880541738172,2.39242244786646,1.93868799203504
"ABalppppapa","ABalppppapa",5.29395617672773,3.75584354114101,3.06609294837354,3.20887430354535
"ABalppppapp","ABalppppapp",5.14474718748122,4.69987173330954,4.214336829106,5.83732308198632
"ABalppppp","ABalppppp",2.2746755364605,4.41801426135899,3.35569781851624,2.11367556233028
"ABalpppppa","ABalpppppa",2.32606578628295,2.39842602215949,1.97756702116109,1.91151334306991
"ABalpppppaa","ABalpppppaa",2.27729453405306,0.934573530244833,3.02789073675922,2.31415420058396
"ABalpppppap","ABalpppppap",1.88286834110095,2.05024772904556,1.91650075068817,1.59827620451897
"ABalpppppp","ABalpppppp",2.10724998042437,3.14384577614549,3.61422758827369,1.22631126751557
"ABalppppppa","ABalppppppa",2.22341519447408,1.29941325328208,2.43056482914274,1.18891622403719
"ABalppppppaa","ABalppppppaa",NA,1.48564464941469,4.91755557129244,NA
"ABalppppppap","ABalppppppap",NA,1.35543451607282,4.95794632944552,NA
"ABalppppppp","ABalppppppp",4.11708064720361,1.02338555195622,2.38679978921895,1.36887223642035
"ABalpppppppa","ABalpppppppa",NA,2.00497336000236,5.14948410929005,NA
"ABalpppppppp","ABalpppppppp",NA,1.96982355484746,7.62576517168586,NA
"ABar","ABar",3.49863014712581,4.21790196514258,3.22383906218127,4.17099907879904
"ABara","ABara",1.97421889954126,2.61828323672737,3.08797793091616,3.72910620815986
"ABaraa","ABaraa",2.14850451064709,3.55743980600492,2.50040487368085,3.46455851873589
