"Cells","Fates","Times","CC_Defects","Pos_Defects","Angle_Defects","Cell_Count","Division_Count","Expression","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells.","MeanMaxPositionDev","MeanMeanPositionDev"
"ABalpaaaa",NA,177,0,0,0,4,4,4787,0,0,0,0,0,10.1692533869895,7.17854087874648
"ABalpaaaaa",NA,232,0,0,0,4,4,6949,0,0,0,29,0,5.96036545942857,4.44749014060429
"ABalpaaaaaa","e3VL",307,0,2,0,4,0,6949,0,0,0,29,0,5.61636727347178,3.84321504340175
"ABalpaaaaap","m2VL",307,0,2,0,4,0,6949,0,0,0,29,0,5.60987791022167,4.38331139783421
"ABalpaaaap",NA,232,1,0,0,4,4,4948,0,0,0,11,0,7.92514230003765,5.82904968900303
"ABalpaaaapa","m1VL",318,0,1,0,4,0,4948,1,28,0,11,0,5.27687679409745,4.07024497645463
"ABalpaaaapp","death",318,0,2,0,4,0,5424,0,0,0,11,0,5.93508074752311,4.5137163217078
"ABalpaaap",NA,177,1,0,0,4,4,3126,0,0,0,0,0,9.07466416523325,6.82969115649566
"ABalpaaapa",NA,230,1,0,0,4,4,3126,136,0,0,0,0,6.99282476818243,5.29807918270766
"ABalpaaapaa","m2L",315,0,1,0,4,0,3126,303,0,3,0,0,5.24074809082457,4.0280253764912
"ABalpaaapap","death",315,0,3,0,4,0,3126,193,0,0,0,0,5.74355094328521,4.26091275115284
"ABalpaaapp",NA,230,0,1,0,4,4,3126,268,0,19,0,0,6.98701228731169,4.80463789088431
"ABalpaaappa","death",313,0,2,0,3,0,6050,1191,216,19,0,0,7.10877864194055,5.62900906312966
"ABalpaaappp","MCL",313,0,2,0,3,0,3126,341,0,108,0,0,7.54577982337566,6.56652339639439
"ABalpaap",NA,134,0,0,0,4,4,398,0,0,0,0,0,3.78590046801971,2.53726081737705
"ABalpaapa",NA,170,0,0,0,4,4,2603,0,0,0,0,0,4.31724952876296,2.62121735524401
"ABalpaapaa",NA,212,0,0,0,4,3,2603,212,0,0,0,0,4.70973299788053,2.34571032383211
"ABalpaapaaa","arcpost",284,0,2,0,4,0,2603,212,0,0,0,0,4.96856605892702,3.28242109676604
"ABalpaapaap","e2DL",284,0,4,0,4,0,2603,251,0,0,0,0,6.19859056719764,3.49402855402109
"ABalpaapap",NA,212,0,0,1,4,4,2603,25,0,0,0,0,3.75474631552731,2.53332337821451
"ABalpaapapa","mc1DL",263,0,1,0,4,0,2603,364,0,0,0,0,4.80712966907525,2.4415687012165
"ABalpaapapp","m3L",263,0,1,0,4,0,2603,353,0,0,0,0,4.80129009386143,2.77521502850879
"ABalpaapp",NA,170,0,0,0,4,4,1941,0,0,0,0,0,5.07560848115441,2.95477753898486
"ABalpaappa",NA,222,0,0,0,4,4,1941,0,0,0,0,0,5.20275231519604,3.19962472776591
"ABalpaappaa","arc_ant",309,0,0,0,4,0,1941,0,0,36,0,0,4.29379163888387,3.22054066833466
"ABalpaappap","arcpost",309,0,2,0,4,0,1941,0,0,0,0,0,4.23528593430582,3.07127309646239
"ABalpaappp",NA,222,0,0,0,4,4,1941,0,0,0,0,0,3.73588456284133,2.17344996171983
"ABalpaapppa","hyp1",297,0,2,0,4,0,1941,0,0,0,0,0,5.425153120606,3.92182726656763
"ABalpaapppp","hyp2",297,0,0,0,4,0,1941,0,193,39,0,0,4.49086056149006,2.70766848784353
"ABalpap",NA,102,0,0,1,4,4,80,0,0,0,0,0,3.53127078564795,2.30277359448282
"ABalpapa",NA,133,0,0,0,4,4,200,0,0,0,0,0,5.02123541712449,3.1550432417629
"ABalpapaa",NA,172,0,0,0,4,4,1334,0,0,0,0,0,6.63196295108798,4.452257708717
"ABalpapaaa",NA,223,1,0,0,4,4,4101,0,0,0,0,0,4.0952016012278,2.40583881530353
