paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20221004_JIM712_ceh.32_L4	X20221004_JIM712_ceh.32_L2	X20220915_JIM712_ceh.32_L4	X20220923_JIM712_ceh.32_L4
Caaa 0.91	-1	3	-5	7	2	2	8	0	-8	-2	2	-2	1	-2	-2	-2	0	1	-1	-2	1	-2	0	1	-1	0
Caaaa 0.3279	-2	-1	-1	-2	-1	4	-2	0	-1	-4	-1	0	4	0	-2	1	-1	2	-2	1	4	4	7	-1	1	2
Caaaaa NA																										
Caaaap NA																										
Caaap 0.0603	-3	-2	-4	3	3	4	-2	2	-3	0	-2	-2	4	-5	0	0	3	1	-2	1	4	1	7	2	2	9
Caaapa NA																										
Caaapp NA																										
Caap 0.1379	5	1	1	1	1	6	2	2	-8	-3	1	0	0	-4	-3	0	1	-3	-1	-6	3	0	6	3	-1	4
Caapa 0.4824	11	-2	-10	-5	1	-13	-9	-1	2	7	9	3	5	10	7	2	1	-5	-15	6	5	-8	2	-2		-11
Caapaa NA																										
Caapap NA																										
Caapp 0.1042	-1	1	-4	-7	4	-3	-5	0	1	0	-1	1	7	-1	2	-3	1	2	3	2	4	-3	5	5	2	0
Caappd NA																										
Caappv NA																										
Cap 0.147	5	0	1	0	5	3	0	-4	0	-2	4	-2	-1	-1	-2	-2	1	-2	-1	-2	3	0	2	9	4	0
Capa 0.5459	-6	2	2	-2	-1	1	2	-1	-3	2	2	2	3	0	2	-3	-3	-1	3	-3	3	0	3	2	-1	-1
Capaa 0.5948	-3	-4	-1	-7	-2	2	4	3	1	-1	-4	-2	-2	5	4	6	-4	3	-4	3	-1	4	1	0	0	-5
Capaaa 0.029	-4	6		0	2	-1		-6	-3	-2	1	4	7		5	1	-1	1	-3	2	-1	-5		-2		-2
Capaaaa NA																										
Capaaap NA																										
Capaap 0.2964	2	-11		2		3		-3	-6		2	0	8		-1		-1	-1	4	4	1	-2		-6		-2
Capaapa NA																										
Capaapp NA																										
Capap 0.1047	3	-5	1	-5	-8	0	4	2	3	3	-3	1	1	5	0	5	-5	0	-2	2	-2	2	-1	-2	-1	-6
Capapa 0.0604	-1	2		8		2		0	-5		-6	1	5		-1	-2	-1	-2	0	-4	4	-2		-3		-2
Capapaa NA																										
Capapap NA																										
Capapp 0.934	3	-6		22				-5			-4		-2		-4	4		2	1	-8	-4	0		3		-3
Capappa NA																										
Capappp NA																										
Capp 0.3839	-2	-2	-2	-3	4	-1	1	0	-4	1	2	1	0	-1	3	-1	0	1	-1	1	2	1	4	1	-2	2
Cappa 0.1918	-5	-3	-3	5	-2	1	3	-2	4	3	-4	0	-2	7	0	1	-4	-1	0	2	1	-2	-8	-4	2	-4
Cappaa 0.2283	0	1	0	-1	2	-4	0	1	-3	5	4	0	2	6	1	-7	-2	-3	2	-2	-3	0	0	-10	-39	-4
Cappaaa NA																										
Cappaap NA																										
Cappap 0.625	-2	-1	5	0	1	-3	-5	0	1	-5	0	-3	10		3	0	-1	3	-1	0	0	-1	5	-9		-3
Cappapa NA																										
Cappapp NA																										
Cappp 0.076	2	1	-6	3	-1	1	2	2	-3	-5	-5	-1	4	5	4	4	-5	-4	3	2	0	-2	-3	-6	0	-5
Capppa 0.4905	-1	0		-5	6	-2	-4	4	-4	1	1	1	7		4	1	-3	-6	2	-4	4	-1		-10		0
Capppaa NA																										
Capppap NA																										
Capppp 0.4394	7	-5		2		3		4	-10		-3	-7	9		9	3		-4	2	-4	-8	1		-19		-2
Cappppd NA																										
Cappppv NA																										
Cp 0.9694	0	2	1	1	2	1	3	1	0	-1	0	0	3	-3	1	-2	-3	-1	-1	-1	-2	0	1	2	-1	-3
Cpa 0.3988	2	0	0	3	6	1	4	1	-2	-1	-2	-2	-2	-1	-3	0	0	1	-1	-2	0	0	0	0	0	-2
Cpaa 0.1575	-3	0	6	0	2	9	8	-2	-3	-2	-1	-2	0	-3	-2	-4	-1	3	-1	-4	0	-1	0	-1	-2	-1
Cpaaa 0.1365	1	-2	-6	-4	1	1	-2	-2	-4	3	0	-1	3	2	0	2	-1	1	2	0	-2	7	9	1	3	2
Cpaaaa NA																										
Cpaaap NA																										
Cpaap 0.1086	1	0	1	-1	2	-1	-1	-2	-4	-6	5	-2	5	2	-1	-3	0	2	1	-1	1	2	13	3	2	4
Cpaapa NA																										
Cpaapp NA																										
Cpap 0.4537	0	1	4	5	6	9	4	-2	-2	-2	-3	-2	-3	-3	-2	-4	0	-2	0	-3	-2	-2	1	-1	-2	-2
Cpapa 0.1862	-2	1	-2	-6	3	-4	-1	-1	-6	2	2	0	-1	10	2	-2	-1	6	1	-1	1	-3	5	13	5	-2
Cpapaa NA																										
Cpapap NA																										
Cpapp 0.2317	-2	2	-5	0	2	1	3	-2	-4	-2	3	0	-1	2	1	2	0	-2	2	0	-1	1	2	5	-2	3
Cpappd NA																										
Cpappv NA																										
Cpp 0.4266	2	1	0	0	5	3	3	2	-3	-2	-2	-2	-1	-1	-4	-4	1	1	0	-2	2	0	2	3	-2	1
Cppa 0.0085	0	1	-3	-2	2	-1	1	0	0	0	1	0	0	0	2	-1	1	-1	3	-3	-1	1	3	5	3	2
Cppaa 0.2587	-1	-3	-2	-5	-1	0	0	1	-1	5	-1	6	1	-1	5	2	-5	3	0	-2	0	-1	-3	-2	2	-8
Cppaaa 0.2315	-1	8	-2	-8	0	6		-3	0	-2	-1	-2	5	9	9	-4	-2	-2	-5	1	-6	-3	-1	-8		-2
Cppaaaa NA																										
Cppaaap NA																										
Cppaap 1e-04	0	1		-2		0			-7		-5		4		-2	8	1	3	4	6	-6	-5		-6		-7
Cppaapa NA																										
Cppaapp NA																										
Cppap 0.1356	0	-1	0	-4	-2	0	-2	5	-3	4	-2	2	-2	0	4	1	-6	1	2	1	0	4	-3	-7	1	-4
Cppapa 0.9625	-6	8		-2	6	4		-4	-6		-5	-7	2	11	0	0	-1	0	2	-4	-1	0		2		-3
Cppapaa NA																										
Cppapap NA																										
Cppapp 0.6574	4	-4		2		0			-5		0	-3	9		10	7			-8	-4	-4	-4		2		-6
Cppappa NA																										
Cppappp NA																										
Cppp 0.3084	1	2	-1	-1	-1	3	-4	-2	0	1	0	1	1	-2	1	0	-1	-2	2	-2	1	3	2	3	0	0
Cpppa 0.9689	-1	-3	-2	-1	1	0	4	-1	-1	5	0	1	-4	-1	1	1	-3	0	2	1	-2	2	-3	3	5	-4
Cpppaa 0.1618	1	3	2	-2	3	-1	3	-1	-4	-2	-2	-4	-2	0	1	-2	0	4	2	2	-1	-1	7	0		6
Cpppaaa NA																										
Cpppaap NA																										
Cpppap 0.9496	4	-3	8	-8	-2	-6	-2	-3	-3	-7	0	-4	9	6	5	-1	-5	10	2	4	-6	1	-4	5		-2
Cpppapa NA																										
Cpppapp NA																										
Cpppp 0.1261	1	-1	-3	-6	-2	-1	3	1	2	-1	1	2	-2	3	3	0	-2	-1	-1	1	-1	4	-1	-2	-2	-7
Cppppa 0.2654	5	8	0	-6	-8	0	6	-8	-2	-4	2	2	5	15	5	-13	4	-7	5	2	-5	-4	-4	-9		1
Cppppaa NA																										
Cppppap NA																										
Cppppp 0.2408	-12	5		-7	6	-1	-4	-10	-1		5	4	8		-2	-8	5	0	5	-1	0	7		-2		-6
Cpppppd NA																										
Cpppppv NA																										
D 0.9371	-1	3	7	3	2	-1	9	-1	0	0	6	2	0	-2	-3	-4	-3	-6	-2	-3	-1	-3	4	2	-1	-5
Da 0.6752	4	-1	-1	5	6	-1	7	-2	0	0	-2	-4	-3	-1	-1	0	-1	4	-3	-4	-4	3	-1	2	-1	-1
Daa 0.9578	3	1	3	-6	-1	3	5	2	-5	-2	6	-3	-6	2	0	3	-2	1	-3	-7	-2	9	2	-1	-3	3
Daaa 0.1373	1	-4	5	-5	3	-1	-4	2	1	3	-2	4	1	4	-5	0	0	1	1	-1	-3	2	-1	-2	-7	-1
Daaaa NA																										
Daaap NA																										
Daap 0.7735	-1	-2	2	-3	2	-3	-3	4	-2	3	-2	3	0	6	-3	-1	-1	3	5	-5	1	-2	-2	-1	-1	2
Daapa NA																										
Daapp NA																										
Dap 0.1679	1	0	0	-2	-2	2	7	1	-1	0	5	-2	-3	1	-1	0	0	-5	-1	-5	-1	7	4	1	0	3
Dapa 0.0583	1	0	1	-6	-4	-3	-5	-1	0	2	1	1	1	8	4	9	-4	-5	-3	-4	5	0	-5	-3	-8	-1
Dapaa NA																										
Dapap NA																										
Dapp 0.2859	-1	-2	-2	-2	0	-6	-2	5	1	2	-4	0	2	6	3	4	0	0	1	-3	-1	1	-5	2	-2	-5
Dappa 0.3793				-1		-3									-4				1	1	1	5		1		3
Dappaa NA																										
Dappap NA																										
Dappp NA				-9		0									6				5	4	-5	-1				-3
Dapppa NA																										
Dapppp NA																										
Dp 0.6361	7	-1	-3	5	4	-1	-4	0	-4	1	-1	-5	-2	2	-1	3	-2	4	-2	-4	1	1	-1	3	-4	-2
Dpa 0.8759	2	-2	3	1	-2	3	7	-1	-4	0	6	-4	0	-2	-3	-3	0	-2	1	-3	-1	2	1	0	-2	3
Dpaa 0.1275	-2	-2	2	-1	-1	-4	-3	20	6	6	-4	1	-1	0	0	-3	3	1	-4	-6	-4	-4	0	-2	-5	-8
Dpaaa NA																										
Dpaap NA																										
Dpap 0.7672	1	-4	9	6	-4	-1	-2	8	2	1	-9	11	-2	4	-2	-7	0	6	-7	-2	-7	-1	0	-3	1	0
Dpapa NA																										
Dpapp NA																										
Dpp 0.1488	2	-1	2	-1	-2	1	4	2	-2	2	3	-2	-1	-2	-1	-1	-3	-1	-2	-2	1	1	3	0	0	2
Dppa 0.0487	-1	-2	-2	0	-5	-2	1	6	10	0	-2	-5	-2	1	-2	6	2	0	-1	-3	3	-1	-7	-1	-3	-4
Dppaa NA																										
Dppap NA																										
Dppp 0.0604	-3	-4	-2	-2	-2	2	1	2	2	-1	2	2	2	0	-5	5	3	4	-1	-3	1	-2	-7	-1	-3	-8
Dpppa 0.3904		-2		-8		6									3				3	3	-10	6		2		2
Dpppaa NA																										
Dpppap NA																										
Dpppp NA				6											3				2	-7	-5	1				1
Dppppa NA																										
Dppppp NA																										
E 0.1094	4	-2	2		-2	1	2	0	-2	-7	-5	-4	3	1	0	1	2	3	2	0	1	0	1	-7	-6	-5
EMS NA						1							0	0	0		0		0				1			
Ea 0.4314	3	0	3	-3	2	-1	0	-2	-3	-4	7	-2	-4	0	0	2	1	1	-2	-4	3	2	2	3	-1	0
Eal 0.7182	0	-1	-4	-1	0	-1	0	1	-2	-1	5	1	2	1	-2	2	-2	1	0	0	-1	1	2	-2	-4	2
Eala 0.4605	0	-3	0	-2	-2	-1	0	1	-2	-4	-2	-4	4	6	3	1	-4	2	2	3	0	1	5	7	-1	-3
Ealaa NA				-10											3				1		1	5				-1
Ealaad NA																										
Ealaav NA																										
Ealap NA																										
Ealapa NA																										
Ealapp NA																										
Ealp 0.9872	-1	-6	1	-2	-4	0	-1	-5	3	-3	0	-1	1	3	6	5	-3	-1	5	10	-4	-3	6	1	-3	-4
Ealpa NA																										
Ealpp NA																										
Ealppa NA																										
Ealppp NA																										
Ear 0.7515	1	1	-2	-2	-1	-3	1	2	-2	-3	4	0	4	-1	-1	1	-2	-1	0	2	3	-1	0	-2	-3	3
Eara 0.6909	-3	-3	0	-4	1	2	-4	3	1	0	3	-10	3	5	7	-2	-4	1	3	5	-4	0	6	1	-2	-1
Earaa NA				-4											9				-3		-4	2				
Earaad NA																										
Earaav NA																										
Earap NA																										
Earapa NA																										
Earapp NA																										
Earp 0.8525	-3	-3	0	-3	-1	5	-6	4	1	2	-2	-7	3	6	7	3	-7	0	1	3	-1	0	7	-3	-7	0
Earpa NA																										
Earpaa NA																										
Earpap NA																										
Earpp NA																										
Earppa NA																										
Earppp NA																										
Ep 0.0856	4	0	3	-3	4	0	1	-2	-5	-1	5	0	1	-1	0	0	0	-1	-4	-4	3	0	3	3	2	0
Epl 0.2424	3	3	1	-3	3	4	1	-3	-1	-2	0	2	1	2	-2	2	-3	-1	2	-2	-2	-3	3	4	-1	1
Epla 0.4669	-1	-5	-2	1	-2	-5	-4	2	7	-1	-1	-1	-2	6	3	5	-8	2	4	2	-3	2	0	4	-4	-8
Eplaa NA																										
Eplaaa NA																										
Eplaap NA																										
Eplap NA																										
Eplapa NA																										
Eplapp NA																										
Eplp 0.0473	6	-5	-4	5	-2	-4	-4	5	1	-5	-1	-3	0	3	-2	2	-7	-2	2	9	1	5	-2	-1	-7	-4
Eplpa NA																										
Eplpaa NA																										
Eplpap NA																										
Eplpp NA				-10											11				3		-5	1				
Eplppa NA																										
Eplppaa NA																										
Eplppap NA																										
Eplppp NA																										
Eplpppa NA																										
Eplpppp NA																										
Epr 0.3548	4	-1	5	-2	3	4	9	0	-2	-2	-1	-1	-2	-3	-3	-1	-2	1	-2	-2	-3	1	0	0	-2	-1
Epra 0.8434	-5	0	-4	-6	-1	-3	2	4	-2	-3	1	0	3	5	-4	3	-6	3	5	4	1	3	4	5	-4	-3
Epraa NA																										
Epraaa NA																										
Epraap NA																										
Eprap NA																										
Eprapa NA																										
Eprapp NA																										
Eprp 0.1584	1	-1	-4	0	6	-2	-7	3	-2	-3	1	-1	2	8	-4	2	-4	2	2	3	0	-1	0	-1	-10	-6
Eprpa NA																										
Eprpaa NA																										
Eprpap NA																										
Eprpp NA				-9											3				6		-2	0				
Eprppa NA																										
Eprppaa NA																										
Eprppap NA																										
Eprppp NA																										
Eprpppa NA																										
Eprpppp NA																										
MS 0.1848	3	-3	3		-2	1	2	0	-2	-7	-3	-2	2	1	2	1	2	1	2	1	1	-1	3	-5	-8	-5
MSa 0.2318	2	-1	1	-2	3	-1	1	1	0	1	-1	-1	0	-1	-3	0	-1	1	-1	-1	1	0	-2	1	-1	-2
MSaa 0.5369	2	1	-2	-1	2	-1	1	1	-2	-2	2	-2	0	0	-2	0	2	1	1	-2	0	2	2	-1	0	-4
MSaaa 0.9745	0	-2	-1	0	3	-1	0	0	1	0	0	0	0	-2	1	1	-1	1	-1	-1	1	0	1	2	-2	-1
MSaaaa 0.5959	1	1	0	0	0	-2	0	0	1	0	0	1	0	-1	1	0	2	1	0	-1	-1	-1	-1	1	-1	-1
MSaaaaa 0.1198	-2	1	-1	-2	-1	1	-1	1	1	0	-1	3	0	-1	0	0	2	0	-1	0	2	-1	-1	0	0	-2
MSaaaaaa NA				-13											9				2	0	2	0				-6
MSaaaaaal NA																										
MSaaaaaar NA																										
MSaaaaap 0.3923	-2	2	0	-1	0	2	-1	3	0	0	-1	1	-1	6	-1	-1	-2	-1	0	-1	-2	-1	-5	1	0	-2
MSaaaaapa NA	-2	-1													4	3			5	-2	-9	2				
MSaaaaapaa NA																										
MSaaaaapap NA																										
MSaaaaapp NA																										
MSaaaap 0.1761	-2	-1	-3	-1	-1	-2	0	-2	3	1	-2	2	-1	2	3	-1	0	4	0	0	2	-2	4	2	1	0
MSaaaapa 0.3491	1	1	3	-2	1	-1	-5	-2	2	-2	4	-4	1	4	3	-2	-3	3	1	0	1	-1	6	7	0	-3
MSaaaapaa NA																										
MSaaaapap NA																										
MSaaaapp 0.6664	-3	6	2	5	-5	4	-4	5	3	1	1	-1	-3	9	-5	7	-6	-6	-2	-2	0	-3	2	5		-3
MSaaaappa NA																										
MSaaaappp NA																										
MSaaap 0.9886	0	2	0	1	0	-2	-2	0	0	0	-1	2	-1	0	-2	-1	2	1	3	1	-1	-1	-1	1	1	-1
MSaaapa 0.0238	0	0	-2	0	3	0	-1	-2	1	1	1	-2	0	-2	2	-1	1	2	-3	0	1	1	0	-2	-1	-2
MSaaapaa 0.9343	0	1	3	-1	6	0	-1	-1	-3	-1	-1	1	-4	-4	1	-1	2	3	-7	5	3	0	-2	4	3	-3
MSaaapaaa NA																										
MSaaapaap NA																										
MSaaapap 0.2089	5	2	0	3	7	-2	-3	-1	1	-3	-2	1	1	1	-6	2	-1	0	-2	0	-1	-4	-2	8	4	3
MSaaapapa NA																										
MSaaapapp NA																										
MSaaapp 0.4179	-3	-4	1	-6	2	3	-12	7	2	-2	-1	2	1	-5	1	9	10	-2	-6	1	4	-1	2	-4	-7	0
MSaaappa NA																										
MSaaappp NA																										
MSaap 0.2857	0	-1	1	0	1	-1	1	-2	1	0	0	1	0	-1	1	1	-2	0	-1	-2	0	0	1	0	-2	-3
MSaapa 0.4953	-1	1	-2	-2	0	-2	0	0	1	2	1	0	-1	0	-1	0	2	0	0	0	1	1	-1	1	-1	-2
MSaapaa 0.9448	0	-2	1	-3	0	2	1	0	3	1	-2	0	-1	-1	-1	1	-1	2	0	0	-1	0	1	0	0	-2
MSaapaaa 4e-04	-2	-2	-2	-2	4	2	8	-1	-1	1	-2	2	1	-1	-2	0	0	0	-1	0	2	-4	3	3	3	2
MSaapaaaa NA																										
MSaapaaap NA																										
MSaapaap 0.8376	-1	-2	-2	1	5	3	5	1	0	-1	1	-2	0	4	-4	-1	0	0	0	-2	0	-5	5	2	-5	0
MSaapaapa NA															-4				3		1	0				
MSaapaapaa NA																										
MSaapaapap NA																										
MSaapaapp NA																										
MSaapap 0.5568	1	-3	-1	-4	-1	-1	3	0	1	1	-3	2	-1	2	4	1	-2	-2	-2	5	0	-1	-2	1	1	-3
MSaapapa 0.3312				7											-3	2	4		-5	-7	7	-6		-12	-64	1
MSaapapaa NA																										
MSaapapap NA																										
MSaapapp 0.1545	1	1	0	-2	3	1	3	-2	4	-4	-3	2	-1	6	-2	2	-3	-1	1	-1	0	-3	1	8		12
MSaapappa NA																										
MSaapappp NA																										
MSaapp 0.5441	-2	-1	-3	-3	-2	-1	-3	-1	1	2	1	2	-3	1	1	4	2	0	2	0	1	2	-2	0	3	1
MSaappa 0.6581	-1	-1	2	2	4	7	-2	1	5	3	-3	6	-3	4	2	-6	0	-8	-2	0	-1	-9	2	-10	-5	5
MSaappaa NA																										
MSaappap NA																										
MSaappp 0.7833	-3	-2	-2	-4	-3	15	-2	7	2	-4	2	-2	-1	5	0	1	-4	-2	-2	-3	9	-6	3	-14	5	1
MSaapppa 0.5052	0	-7		2											3				3	-4	-6	9		-17		0
MSaapppaa NA																										
MSaapppap NA																										
MSaapppp NA				-3											3				-3	5	-1	-2		-6		
MSaappppa NA																										
MSaappppp NA																										
MSap 0.4341	3	0	0	0	1	-2	0	-1	-1	-2	2	-1	1	0	-1	1	2	1	-1	-4	2	1	2	0	-3	-5
MSapa 0.8035	2	1	-1	1	4	0	0	0	-1	-2	0	0	0	-1	-1	1	-1	0	1	0	-1	-1	3	0	-1	-1
MSapaa 0.9437	0	1	1	-2	0	-1	0	0	0	1	-1	-1	-1	0	3	-1	0	0	-1	-1	0	3	2	1	-4	1
MSapaaa 0.9898	0	2	-2	2	0	-1	-1	3	0	-1	-3	1	-1	-2	2	-1	1	-2	5	-3	0	1	2	2	-3	-1
MSapaaaa NA				-8															9		2	-3				
MSapaaaad NA																										
MSapaaaav NA																										
MSapaaap NA																										
MSapaap 0.7283	4	3	-11	-4	-2	5	0	2	-1	-2	0	-1	-1	-5	2	4	1	-3	5	-1	4	1	7	-4	-1	-7
MSapaapa NA																										
MSapaapp NA																										
MSapap 0.7063	0	0	-1	-2	2	0	1	2	0	0	-1	-1	-1	-2	0	-2	3	0	1	-1	-2	2	1	1	2	-2
MSapapa 0.4718	1	-3	1	-2	0	-3	0	-2	-1	0	-3	-2	-1	6	2	2	-4	7	0	-1	-3	5	-2	2	-3	-1
MSapapaa NA																										
MSapapaaa NA																										
MSapapaap NA																										
MSapapap NA																										
MSapapp 0.6429	-2	0	3	-1	-2	3	1	-2	0	-3	0	-5	1	1	-1	2	0	4	0	-5	0	5	1	9	1	-5
MSapappa NA																										
MSapappp NA																										
MSapp 0.5316	1	0	0	2	3	1	4	-1	-2	-3	-1	-1	-1	0	0	-2	-2	1	0	-1	0	1	0	-1	1	-3
MSappa 0.7364	2	1	-1	-4	-1	-5	-5	0	0	1	0	1	1	-3	3	5	3	0	2	-3	3	0	5	2	-5	2
MSappaa 0.2042	0	0	2	2	2	6	1	1	5	-1	-2	0	0	-2	1	-1	-1	-5	-6	2	-4	0	-2	-1	0	-7
MSappaaa NA																										
MSappaap NA																										
MSappap 0.2382	-3	-3	0	-2	-1	4	-3	-3	2	-4	-10	-1	7	-1	9	8	6	2	3	-6	-4	-1	-5	-3	-8	3
MSappapa NA																										
MSappapp NA																										
MSappp 0.0276	1	2	3	0	1	4	2	-2	1	2	0	-1	1	-4	-1	-1	2	-1	-5	-5	1	-1	4	7	5	1
MSapppa 0.6866	-2	0	2	-3	-3	4	8	4	0	-3	-3	-2	-2	-5	0	-1	0	2	2	6	-3	2	5	3	0	-5
MSapppaa NA																										
MSapppap NA																										
MSapppp 0.5038	4	1	8	-2	3	5	2	4	-2	-3	-1	-2	-4	-1	-3	-1	-4	0	0	1	-5	-2	-2	2	9	-1
MSappppa NA																										
MSappppp NA																										
MSp 0.0045	2	1	0	0	3	-1	2	0	0	0	0	-1	1	-1	-3	0	-2	1	-1	-1	1	0	-2	-1	-1	-3
MSpa 0.8413	2	-1	1	-1	2	-1	-2	0	-2	-1	2	0	0	0	0	2	2	1	0	-2	0	0	0	1	0	-1
MSpaa 0.4855	1	-1	-2	-1	2	-1	2	-1	1	1	0	-1	1	-2	0	0	1	0	0	-2	0	1	1	1	-3	-3
MSpaaa 0.2121	1	0	-1	-2	-2	-2	-1	2	1	0	0	0	0	0	-1	0	2	1	0	-1	1	1	-1	0	-1	-3
MSpaaaa 0.6925	-2	1	-2	-1	2	0	1	0	1	1	-2	0	-1	0	3	-1	-1	1	0	2	-1	0	0	2	0	-3
MSpaaaaa 0.2839	-4	3		1	8	-3	4	3	0	3	-3	-3	-3	4	13	-3	-1	-4	0	-2	-5	-8	-2	-9		-1
MSpaaaaaa NA																										
MSpaaaaap NA																										
MSpaaaap 0.1097	-1	-2	-1	-2	2	1	3	-2	1	-4	-2	7	-3	3	-3	0	-1	6	2	2	-1	-4	0	1	2	4
MSpaaaapa NA																										
MSpaaaapp NA																										
MSpaaap 0.2339	-3	0	-2	-1	0	2	1	0	0	1	0	2	-1	0	1	1	-1	2	0	0	-1	0	-2	0	0	-2
MSpaaapa 0.5377	4	4	-3	-3	-6	0	1	2	0	-4	-3	3	3	4	7	-1	-1	-7	2	0	0	-2	-2	-1		17
MSpaaapaa NA																										
MSpaaapap NA																										
MSpaaapp 0.8613	1	0	-1	-2	-3	1	1	-1	0	1	-2	4	1	3	0	3	-3	3	3	-1	-1	-4	-1	-1	2	-1
MSpaaappa NA																										
MSpaaappp NA																										
MSpaap 0.3575	2	2	0	-3	-1	-1	-5	0	-1	0	1	0	-1	0	-1	2	4	1	0	2	-1	2	-1	0	0	-5
MSpaapa 0.9755	-1	0	-1	-1	-1	0	2	-1	0	3	-3	0	-2	1	3	-1	-1	0	1	-1	3	-1	0	1	0	-2
MSpaapaa 0.961	0	3	-3	8	2	-4	-9	-1	-5	-6	-5	-1	0	12	-3	-1	3	13	-3	7	0	-7	2	-6		4
MSpaapaaa NA																										
MSpaapaap NA																										
MSpaapap 0.6079	4	-2	-1	0	2	-3	1	-2	-2	-1	-2	2	1	4	0	-2	2	4	1	0	1	-7	3	-4		-3
MSpaapapa NA																										
MSpaapapp NA																										
MSpaapp NA																										
MSpap 0.4742	1	-1	-1	-2	1	-2	1	0	0	-1	0	1	-2	-1	1	1	-1	1	1	0	0	2	0	1	-2	-3
MSpapa 0.4596	1	-1	0	0	0	-1	0	0	-1	1	0	-2	1	0	0	-1	3	0	-1	-1	2	0	1	-1	-1	0
MSpapaa 0.1476	-2	-1	-3	-2	-1	0	4	3	1	0	1	1	0	-1	-1	0	2	0	-2	0	0	0	-1	0	-3	-1
MSpapaaa 0.4366	-1	-1	0	-2	1	0	4	-3	2	4	-7	1	-1	2	3	0	0	2	-4	1	1	-3	-1	3	-8	-3
MSpapaaaa NA																										
MSpapaaap NA																										
MSpapaap 0.8155	-1	-1	0	1	3	0	1	0	0	-1	1	2	-2	1	3	-1	1	0	-3	0	-2	-1	0	2	0	-1
MSpapaapa NA																			-5		8	-2				
MSpapaapaa NA																										
MSpapaapap NA																										
MSpapaapp NA																										
MSpapap 0.5416	-1	0	-2	-4	0	0	0	-1	-2	3	-2	1	0	2	-2	2	0	-3	3	0	3	2	3	0	-4	-3
MSpapapa 0.0498	-3	-3		16			-19	-1			-2				4	0			3	11	-6	-1		5		6
MSpapapaa NA																										
MSpapapap NA																										
MSpapapp 0.5692	-1	-1	-3	-3	0	0	5	0	-1	6	-2	-1	-4	7	-5	0	2	0	1	2	-4	1	0	4	0	-1
MSpapappa NA																										
MSpapappp NA																										
MSpapp 0.9924	1	0	-5	-3	-1	-1	2	-1	-3	4	1	2	0	1	-1	0	-1	0	3	0	-1	2	0	4	0	-4
MSpappa 0.1847	1	0	3	-2	1	6	1	1	1	-8	-3	-5	1	-2	9	2	-2	5	-9	0	6	-4	5	19	9	-2
MSpappaa NA																										
MSpappap NA																										
MSpappp 0.1808	-2	0	-11	3	1	8	4	-7	1	-2	6	3	-5	-1	0	-4	10	2	-3	2	3	-7	2	-1	9	7
MSpapppa 0.3502		-2		3				0							1	1			1	2	-6	-1		-5	-71	-4
MSpapppaa NA																										
MSpapppap NA																										
MSpapppp 0.0235				-2											2				4	5	-9	-1		-9		-13
MSpappppa NA																										
MSpappppp NA																										
MSpp 0.6082	1	0	0	2	3	-2	0	0	-1	-2	0	-1	-1	0	0	1	1	1	-1	-3	-1	1	1	2	-3	-2
MSppa 0.3742	2	-1	0	-1	0	2	1	0	-1	-2	0	0	0	-1	-1	1	0	0	1	0	0	2	1	0	-1	-3
MSppaa 0.4292	1	1	-3	0	3	-2	-1	1	-1	0	-2	0	0	-1	1	-1	1	2	0	-1	-1	1	3	1	-2	2
MSppaaa 0.5631	2	1	-1	-1	0	3	-2	0	-1	1	-1	3	1	-1	1	-3	-1	2	0	-2	-1	0	-1	1	2	-5
MSppaaaa NA				-1											12				0	2	-3	-10				
MSppaaaad NA																										
MSppaaaav NA																										
MSppaaap NA																										
MSppaap 0.1019	-2	0	-2	1	-4	10	-7	0	7	-2	-4	-1	4	-1	-1	-4	-1	-5	6	2	0	5	1	-4	-9	-6
MSppaapa NA																										
MSppaapp NA																										
MSppap 0.1232	-1	1	-2	-2	4	-1	0	0	-1	0	0	0	0	0	2	0	0	1	0	-3	1	1	1	2	0	3
MSppapa 0.9598	2	-1	0	-3	4	3	-2	1	-2	-1	-4	2	-1	1	3	1	0	1	-1	-2	-1	0	2	-1	-3	1
MSppapaa NA																										
MSppapaaa NA																										
MSppapaap NA																										
MSppapap NA																										
MSppapp 0.3541	-2	-5	-2	-4	5	2	1	-2	-1	-1	-5	5	-2	0	-1	1	0	5	2	1	-1	2	1	9	4	-3
MSppappa NA																										
MSppappp NA																										
MSppp 0.1927	-1	-3	0	0	1	1	2	0	0	-1	-1	1	1	0	-1	0	-1	1	0	1	-2	1	0	-1	-1	-3
MSpppa 0.9213	-1	-3	-3	-1	-1	-1	-4	1	-1	-1	-1	1	2	-2	6	-1	4	1	0	-2	2	4	2	-1	-2	1
