"Cells","CellNames.Cells.","CellTimes.Cells.","X1","X2","X3","X4","X20221004_JIM712_ceh.32_L4","X20221004_JIM712_ceh.32_L2","X20220915_JIM712_ceh.32_L4","X20220923_JIM712_ceh.32_L4","X20220915_JIM712_ceh.32_L4.1","X20220923_JIM712_ceh.32_L4.1","X20221004_JIM712_ceh.32_L2.1","X20221004_JIM712_ceh.32_L4.1"
"ABalapaaap",NA,229,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaaapa","CANL",301,NA,NA,NA,NA,0,0,0,0,0,1,1,1
"ABalapaaapp","OLLsoL",301,NA,NA,NA,NA,0,0,0,0,0,1,1,1
"ABalapaap",NA,175,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaapa",NA,225,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaapaa","RIAL",321,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
"ABalapaapap","death",321,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
"ABalapaapp",NA,225,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaappa",NA,291,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaappaa","IL1L",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABalapaappap","death",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABalapaappp","IL2L",291,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABalapap",NA,135,0,0,0,0,0,0,0,0,0,0,0,0
