"","Cell","Embryo","Div time","WT Div time","WT Div time SD","CC","WT CC","WT CC SD","CC Deviation","CC Z score","Terminal Cell Length","Terminal cell delta","Terminal Cell Z"
"ABalapaa_X20221004_JIM712_ceh.32_L4","ABalapaa","X20221004_JIM712_ceh.32_L4",171.1,173.904545454545,2.33513072392864,38.2,38.5727272727273,1.85861746318571,-0.372727272727268,-0.200540068147431,NA,NA,NA
"ABalapaaa_X20221004_JIM712_ceh.32_L4","ABalapaaa","X20221004_JIM712_ceh.32_L4",229.6,227.963636363636,2.8006029035507,56.7,52.3863636363636,1.9181577110157,4.31363636363637,2.24884342870442,NA,NA,NA
"ABalapaaaa_X20221004_JIM712_ceh.32_L4","ABalapaaaa","X20221004_JIM712_ceh.32_L4",NA,347.2,5.52841146563217,NA,118.442857142857,5.58237020833061,NA,NA,95.4,-23.0428571428571,-4.12779093519633
"ABalapaaaaa_X20221004_JIM712_ceh.32_L4","ABalapaaaaa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapaaaap_X20221004_JIM712_ceh.32_L4","ABalapaaaap","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapaaap_X20221004_JIM712_ceh.32_L4","ABalapaaap","X20221004_JIM712_ceh.32_L4",302.9,300.331818181818,3.15449586397639,71.5,70.7409090909091,2.95774352391257,0.759090909090915,0.256645278048575,NA,NA,NA
"ABalapaaapa_X20221004_JIM712_ceh.32_L4","ABalapaaapa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA
"ABalapaaapp_X20221004_JIM712_ceh.32_L4","ABalapaaapp","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA
"ABalapaap_X20221004_JIM712_ceh.32_L4","ABalapaap","X20221004_JIM712_ceh.32_L4",220.9,223.968181818182,3.14088042913605,48,48.4045454545455,2.15395036259013,-0.404545454545456,-0.187815588312346,NA,NA,NA
"ABalapaapa_X20221004_JIM712_ceh.32_L4","ABalapaapa","X20221004_JIM712_ceh.32_L4",NA,320.066666666667,9.00918050287225,NA,94.5142857142857,8.41922120592432,NA,NA,104.1,9.58571428571427,1.1385511855858
"ABalapaapaa_X20221004_JIM712_ceh.32_L4","ABalapaapaa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapaapap_X20221004_JIM712_ceh.32_L4","ABalapaapap","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapaapp_X20221004_JIM712_ceh.32_L4","ABalapaapp","X20221004_JIM712_ceh.32_L4",290.1,290.5,3.98556920712235,67.5,64.8727272727273,3.20389373496299,2.62727272727273,0.820024927357049,NA,NA,NA
