"","Cells","20101213_RW10889_pal.1_L2","20101213_RW10889_pal.1_L3","20110125_RW10890_pal.1_L3","20110125_RW10890_pal.1_L4","20110203_RW10890_pal.1_L4","20110209_UP2051_mls.2_L1","20110209_UP2051_mls.2_L2","20110209_UP2051_mls.2_L3","20110225_NX68_L3","20110316_mir.1_L2","20110316_mir.1_L3","20110408_RW10425_pha.4_L2","20110726_RW10713_L1","20110731_RW10434_L1","20110916_ceh.36_L1","20110927_RW11144_L4","20110929_ceh.43_L1","20111116_RW10226_L4","20120331_RW10871_L4","20120426_JIM122_L2","20120612_JIM127_L4","20120807_mir.57_L4"
"ABaraapppp","ABaraapppp",1.9809213109661,2.03691652396946,2.36142995497266,2.90681659630221,2.90516288959162,3.1174953224569,2.60700901291027,2.5029156551629,3.06609924556094,2.4196415552146,2.15366783046201,2.04810700250405,2.59936133380877,3.32721580828592,1.39959621533584,2.41025167791834,3.15942687993204,1.96784936653425,3.08662281526535,3.32134631742857,2.29215084946081,4.50785113768004
"ABaraappppa","ABaraappppa",1.90088137452078,4.0059287627676,1.42526034559115,1.52703872433198,1.67717130820011,1.29344709304964,2.25268044399374,1.98942798505337,3.74381698010318,1.6617443410361,1.64406147998887,1.77412700004581,1.90173262541971,1.47759310451702,1.4668757983759,1.39918388743234,1.95348636511633,1.94025084977359,1.76876597034521,1.42815350519659,1.88017605119071,1.32793058154036
"ABaraappppp","ABaraappppp",1.38201254613913,2.43205475454105,2.1795333776216,1.25741416840045,1.53140733589655,1.58661137800308,2.91889386890859,1.09352431150507,3.19306185829307,1.25680491785189,1.83471859047083,2.44351812968479,1.45291034752559,1.8783345005264,1.56391509699451,1.66161786833723,2.16042863074834,2.18894911723154,1.82966014603806,1.90302797118667,1.67588431986668,1.6651663070677
"ABarap","ABarap",2.48921181144869,2.15354970363394,3.00599871817701,2.28901742920427,2.76140400194871,3.89434858864174,3.84494218086532,3.33740552660125,3.46751336026539,2.05733353334333,1.82839462990157,2.43480173666163,3.67360414316681,3.25348253052131,4.15781599504918,2.10929062062851,3.44108447100803,3.77280143598,3.036183584709,2.54144636535962,4.0366316966756,3.04004583876022
"ABarapa","ABarapa",5.33043900579249,5.20866450737742,3.45993332786109,3.12856381662602,2.49455763366984,4.23734570081264,2.61762029867167,1.96658807440821,4.90872709931468,4.04777512605065,2.55621103902496,4.1167585377261,3.45773336554498,2.54898608369849,3.20745739203438,3.97486160682211,3.08801618076243,5.16588859332813,5.0192910558747,3.27349107248712,4.63988469109087,2.57142996523641
"ABarapaa","ABarapaa",5.32903451013702,4.7924609944545,2.60139028309069,4.98519525680662,2.55634461607586,3.06795412400515,4.16429931222769,6.26795195536535,7.81864633586775,4.94273284328712,4.5705572098028,4.91060899856024,4.91688233931838,4.57189073454295,2.59054223878112,3.52263480143743,3.41579501276023,5.75733390076057,4.27597456237417,4.13832019757297,4.18573790192118,3.27606702393496
"ABarapaaa","ABarapaaa",3.59298464213992,2.76845931014066,4.3159964264983,5.15885546693419,3.00218131270862,3.76255474137164,4.27031154490335,3.68343679348109,4.30014836121062,2.75192329655444,5.56477632409337,5.59675487484988,5.8087227796288,3.40858062847205,3.0706454065375,2.36691679005701,2.99156985452926,4.44689262887674,3.71998145590406,5.61466200647947,4.24183506917865,4.03328335268088
"ABarapaaaa","ABarapaaaa",2.91566582001577,2.5176754222743,2.12967732119219,2.34495540054661,3.37680378304275,4.22452471194198,2.60583420440105,4.15021905226919,3.39743674114821,2.7805237983642,2.20106566977104,3.94038104064273,2.68251531771061,3.07069377525208,3.44165357623962,3.13468689869948,2.51548096595485,2.91623986460702,3.26762678017213,3.38539041233101,2.81475534275958,2.9550733296268
"ABarapaaaaa","ABarapaaaaa",1.7623962373124,1.41784051424704,2.53655902347706,1.86333644974486,1.98453098444593,3.36233929786972,1.68226432648676,1.35265859880352,2.32321017565288,2.84012828199801,2.03430216811998,3.92958024608634,2.26415510486625,2.19783250082953,1.83650077771983,2.54614142779123,2.69132615475431,2.22481424689453,2.81586781831959,2.09140141613182,2.10234029375451,1.99826204832897
"ABarapaaaap","ABarapaaaap",1.95730200792049,1.3979341773056,2.19450670427614,1.45281471201795,2.45136265102629,2.95247829783278,1.77009342122677,1.63605363852052,2.23907580265331,2.41447802564348,2.01954428336679,3.49861519836928,1.70945457036936,2.55153323413274,1.78388870219667,1.84476588135861,2.79976430223085,3.52968104821599,2.45687069906148,1.72762724049009,1.36421091791974,1.88292897178732
