"","Cells","20101213_RW10889_pal.1_L2","20101213_RW10889_pal.1_L3","20110125_RW10890_pal.1_L3","20110125_RW10890_pal.1_L4","20110203_RW10890_pal.1_L4","20110209_UP2051_mls.2_L1","20110209_UP2051_mls.2_L2","20110209_UP2051_mls.2_L3","20110225_NX68_L3","20110316_mir.1_L2","20110316_mir.1_L3","20110408_RW10425_pha.4_L2","20110726_RW10713_L1","20110731_RW10434_L1","20110916_ceh.36_L1","20110927_RW11144_L4","20110929_ceh.43_L1","20111116_RW10226_L4","20120331_RW10871_L4","20120426_JIM122_L2","20120612_JIM127_L4","20120807_mir.57_L4"
"Cpappd","Cpappd",1.5209094402298,1.83612033425691,1.47607118381892,1.7868892298625,2.32053280815102,1.43456156061935,2.62082879808663,2.36490488845221,4.43232400895999,1.35357844055401,2.24730147076199,1.65373761567488,2.38163401168675,4.29838653961821,1.63972841862457,2.01751395954324,3.33692026195305,1.57588325847168,2.43385022310827,3.42586388971581,2.01844975127352,2.62303820167574
"Cpappv","Cpappv",1.94245988561583,2.08201730281017,2.49314193142381,2.15853250791956,1.91752785742685,1.87997840763979,4.40391209635661,1.77853563577611,2.14505152625927,1.35599152150629,1.56261354885364,1.74994607094624,1.30840734707472,2.16899948405261,2.25413877473568,1.32904412039055,2.65487101658765,1.26864901305059,1.64510211986714,3.2012681580519,1.71358298696992,1.55268740883535
"Cpp","Cpp",2.65796667550624,3.76836498795365,2.07047972034595,2.41174742907197,4.46412887198475,3.44757095716262,1.64718206748254,2.72965654511017,1.53732489295711,4.36192076179525,3.17259287892176,4.34752003474534,3.27378987242516,2.84421331123469,3.78379026084529,4.71470003932748,2.98154719589517,1.90239937469888,2.07865003226873,2.88845459279426,2.6847823198953,2.04355507928642
"Cppa","Cppa",5.23770844965581,2.92702581270825,2.437006403542,2.27704960544352,4.48895310357515,3.00742221163145,2.98550925409842,2.67936763272273,4.48956135660528,2.84809349234058,3.74844031332189,4.08577568650979,3.93459866432619,5.06568749031263,2.94132365310215,3.56756047558061,3.39880136136368,3.34152977844687,2.57680584382233,2.67896206679248,2.24626820390568,1.98524050799861
"Cppaa","Cppaa",2.32741191363257,1.94463014499256,2.28414421321841,1.49252764958787,1.69874391822227,2.4985119150247,2.23640948703401,1.7513745085966,2.09617825714125,2.3990992676064,1.21011847758323,1.35615665440119,2.10678778682019,4.59113753711599,1.80241318200157,1.78456954243938,1.45496584481794,1.26013107677526,1.91964240282439,2.10006982578734,1.46299337841911,1.02107007418513
"Cppaaa","Cppaaa",2.58646169910112,1.33041263912487,2.19137380745681,1.4277621082224,2.28744894907726,1.10048959919471,1.02633194750241,1.81924737029356,1.3242845714553,1.25793853876514,0.972886131075705,1.4433621985784,1.25035558980154,2.46459820042586,0.763108515707112,1.12758741787972,1.57588669963432,1.18266753159415,1.04768433649514,1.53331605143244,1.16469291973896,1.32291290026759
"Cppaaaa","Cppaaaa",2.90349103850373,NA,1.79039073958556,0.971945680255408,1.21660221890941,1.69634337376345,1.12237978850455,1.43184459282218,2.15631309883646,1.68650621502531,0.564657372690517,0.937891434782342,1.76230485710501,1.27922827829815,1.49897458456511,0.806325519738706,1.8117902186423,2.06221946638199,1.28652934983707,1.04599797039166,1.15913348397455,1.28790230647646
"Cppaaap","Cppaaap",2.2752845461326,NA,3.05579425141885,1.70035211598853,1.29161146781899,1.63991622295701,0.680272622167193,1.3460266308503,2.71216949278285,2.28356715742228,0.724056251113625,0.945295343832413,1.6365307851959,2.01093308810942,0.878792744707004,1.49388886813288,1.74189257993677,1.86231893755443,1.99449482847959,1.34753864807682,0.871020654108475,1.53614514733222
"Cppaap","Cppaap",2.1633882662757,1.41997134266037,1.79099095440894,1.47384495675675,2.36418188155993,1.62232893037798,1.4310529134647,1.81826065913513,1.14613099237905,1.87152397455593,0.806343008257857,1.47395050113328,1.28631614696059,2.25423803287797,1.8207817414318,1.41028441048228,1.7716420526824,1.17530428366775,1.2194008294447,2.1177481061055,1.10327742262776,1.14005812774332
"Cppaapa","Cppaapa",1.84118319445827,NA,3.92873557346007,NA,NA,NA,1.72039921950965,NA,1.86710734318667,1.66912700863186,1.26749765722176,NA,0.924246896001301,0.93233164075275,2.03959175298606,1.74783753438763,NA,4.70811468429432,1.57160236566482,2.32626995876313,0.827784599079674,1.38896960145875
