"Cells","CellNames.Cells.","CellTimes.Cells.","CCDefectCount.Cells.","CCDefectCount.Parents.","CCDefectCount.Sisters.","CCDefectCount.Aunts.","PosDefectCount.Cells.","PosDefectCount.Parents.","PosDefectCount.Sisters.","PosDefectCount.Aunts.","AngDefectCount.Cells.","AngDefectCount.Parents.","AngDefectCount.Sisters.","AngDefectCount.Aunts.","cellObservedCounts.Cells.","cellObservedCounts.Parents.","cellObservedCounts.Sisters.","cellObservedCounts.Aunts.","divObservedCounts.Cells.","divObservedCounts.Parents.","divObservedCounts.Sisters.","divObservedCounts.Aunts.","ExpPeak.Cells.","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells."
"ABalapppppa","AVJR",291,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-31,-12,-294,12621,-70,88
"ABalapppppp","CEPsoDR",291,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-31,-12,-294,10742,-70,88
"ABalp",NA,56,1,0,1,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-173,-294,0,-107,-38
"ABalpa",NA,75,0,1,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-173,-294,0,-107,-38
"ABalpaa",NA,102,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-146,-294,0,-107,-38
"ABalpaaa",NA,134,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-61,-69,-270,0,-53,-38
"ABalpaaaa",NA,177,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-61,-69,-270,0,-45,-25
"ABalpaaaaa",NA,232,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-55,-69,-136,0,29,-25
"ABalpaaaaaa","e3VL",307,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-55,-63,-136,0,29,-25
"ABalpaaaaap","m2VL",307,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-55,-39,-136,0,29,-25
"ABalpaaaap",NA,232,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,19,-69,-62,0,11,-25
"ABalpaaaapa","m1VL",318,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,19,1,28,0,11,-25
"ABalpaaaapp","death",318,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,19,-69,-62,0,11,-25
"ABalpaaap",NA,177,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-61,-69,-270,0,-28,-19
"ABalpaaapa",NA,230,1,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-61,136,-270,0,-28,-19
"ABalpaaapaa","m2L",315,0,1,0,0,1,0,0,0,0,0,0,0,21,22,21,22,0,0,0,0,-61,303,-270,3,-28,-19
"ABalpaaapap","death",315,0,1,0,0,0,0,1,0,0,0,0,0,21,22,21,22,0,0,0,0,-61,193,-270,0,-28,-19
"ABalpaaapp",NA,230,0,0,1,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-37,268,-270,19,-28,-19
"ABalpaaappa","death",313,0,0,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-37,1191,216,19,-28,-19
"ABalpaaappp","MCL",313,0,0,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-37,341,-270,108,-28,-19
