"Cells","CellNames.Cells.","CellTimes.Cells.","CCDefectCount.Cells.","PosDefectCount.Cells.","AngDefectCount.Cells.","cellObservedCounts.Cells.","divObservedCounts.Cells.","ExpPeak.Cells.","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells.","theseMaxMean.Cells.","theseMeanMean.Cells."
"ABalppapaaa","RMDVL",305,0,0,0,22,0,-4,-94,-225,0,-39,708,2.51226891925585,1.60785598372918
"ABalppapaap","ILshVL",305,0,0,0,22,0,-4,-94,-133,0,-39,708,2.65111216019617,1.74885109501858
"ABalppapap",NA,220,0,0,0,22,0,-1,-127,-244,0,-43,708,3.22362908114102,1.71825196306226
"ABalppapapa","SAADL",299,0,0,0,22,0,-1,-127,258,683,-43,708,2.92752487586144,1.84140961222799
"ABalppapapp","ILsoVL",299,0,0,0,22,0,-1,-127,-201,0,-43,708,2.89178737231695,1.90259393134842
"ABalppapp",NA,172,0,0,0,22,0,-4,-127,-223,0,-9,708,3.07154848593367,1.79048423238875
"ABalppappa",NA,218,0,0,0,22,0,19,-68,-223,0,-9,708,3.24969139115767,1.74012603170197
"ABalppappaa","SMDVL",296,0,0,0,22,0,19,-68,-223,0,-9,708,2.37593835987714,1.30489238791596
"ABalppappap","BAGL",296,0,0,0,22,0,19,-68,-192,0,-9,708,2.32309742397124,1.39775223942128
"ABalppappp",NA,218,1,0,0,22,0,-4,-127,-150,0,-8,708,3.03131013067258,1.67469339334428
"ABalppapppa",NA,286,0,0,0,22,0,-4,-127,-150,0,-8,708,2.81566299775015,1.67497621148776
"ABalppapppaa","IL1VL",400,0,0,0,NA,0,-4,-127,-150,0,-8,708,NA,NA
"ABalppapppap","death",400,0,0,0,NA,0,-4,-127,-150,0,-8,708,NA,NA
"ABalppapppp","IL2VL",286,0,0,0,22,0,-4,-127,-36,0,-8,708,3.00733167259916,1.74973731869213
"ABalppp",NA,103,0,0,0,22,0,-59,-166,-294,0,-99,437,3.42349534236804,2.21428620213324
"ABalpppa",NA,134,0,0,0,22,0,-46,-137,-294,0,-76,437,3.42286241444957,2.07123832708909
"ABalpppaa",NA,173,0,0,0,22,0,-8,-26,-155,0,-76,437,3.53189865530142,2.01779471014136
"ABalpppaaa",NA,227,1,0,0,22,0,-8,-17,-32,0,-76,437,3.21759355362554,1.70667409098542
